,Date,Decred - Tweets
0,2010/07/17,154298
1,2010/07/18,401834
2,2010/07/19,481473
3,2010/07/20,431831
4,2010/07/21,460783
5,2010/07/22,334641
6,2010/07/23,319692
7,2010/07/24,329602
8,2010/07/25,320839
9,2010/07/26,289627
10,2010/07/27,198389
11,2010/07/28,242370
12,2010/07/29,278382
13,2010/07/30,275386
14,2010/07/31,297637
15,2010/08/01,273081
16,2010/08/02,248468
17,2010/08/03,234431
18,2010/08/04,264328
19,2010/08/05,206592
20,2010/08/06,142793
21,2010/08/07,178048
22,2010/08/08,190690
23,2010/08/09,181613
24,2010/08/10,198271
25,2010/08/11,196830
26,2010/08/12,192848
27,2010/08/13,179694
28,2010/08/14,221718
29,2010/08/15,118179
30,2010/08/16,127034
31,2010/08/17,123209
32,2010/08/18,137974
33,2010/08/19,131465
34,2010/08/20,154681
35,2010/08/21,122606
36,2010/08/22,139665
37,2010/08/23,128841
38,2010/08/24,128665
39,2010/08/25,125588
40,2010/08/26,124015
41,2010/08/27,94437
42,2010/08/28,99090
43,2010/08/29,103425
44,2010/08/30,102550
45,2010/08/31,107623
46,2010/09/01,91634
47,2010/09/02,99823
48,2010/09/03,100891
49,2010/09/04,104237
50,2010/09/05,95627
51,2010/09/06,96359
52,2010/09/07,102562
53,2010/09/08,92295
54,2010/09/09,75979
55,2010/09/10,96126
56,2010/09/11,84203
57,2010/09/12,89056
58,2010/09/13,85159
59,2010/09/14,95834
60,2010/09/15,80509
61,2010/09/16,98507
62,2010/09/17,80260
63,2010/09/18,89729
64,2010/09/19,64989
65,2010/09/20,66459
66,2010/09/21,62604
67,2010/09/22,69214
68,2010/09/23,79759
69,2010/09/24,66077
70,2010/09/25,63666
71,2010/09/26,68976
72,2010/09/27,70371
73,2010/09/28,60835
74,2010/09/29,40379
75,2010/09/30,46853
76,2010/10/01,46051
77,2010/10/02,37368
78,2010/10/03,51495
79,2010/10/04,51311
80,2010/10/05,43227
81,2010/10/06,55017
82,2010/10/07,47154
83,2010/10/08,56175
84,2010/10/09,68255
85,2010/10/10,76946
86,2010/10/11,66635
87,2010/10/12,67239
88,2010/10/13,76105
89,2010/10/14,82496
90,2010/10/15,68560
91,2010/10/16,87760
92,2010/10/17,71787
93,2010/10/18,71548
94,2010/10/19,77245
95,2010/10/20,75347
96,2010/10/21,40308
97,2010/10/22,46652
98,2010/10/23,51343
99,2010/10/24,59450
100,2010/10/25,50213
101,2010/10/26,70400
102,2010/10/27,73097
103,2010/10/28,86496
104,2010/10/29,84142
105,2010/10/30,94821
106,2010/10/31,52133
107,2010/11/01,63401
108,2010/11/02,62473
109,2010/11/03,63363
110,2010/11/04,72102
111,2010/11/05,79547
112,2010/11/06,110082
113,2010/11/07,132425
114,2010/11/08,103778
115,2010/11/09,54630
116,2010/11/10,52411
117,2010/11/11,48773
118,2010/11/12,49021
119,2010/11/13,71528
120,2010/11/14,64959
121,2010/11/15,54602
122,2010/11/16,55820
123,2010/11/17,53690
124,2010/11/18,49456
125,2010/11/19,29881
126,2010/11/20,38601
127,2010/11/21,42176
128,2010/11/22,43635
129,2010/11/23,38518
130,2010/11/24,44433
131,2010/11/25,46749
132,2010/11/26,40527
133,2010/11/27,38775
134,2010/11/28,41305
135,2010/11/29,40278
136,2010/11/30,28759
137,2010/12/01,28174
138,2010/12/02,28953
139,2010/12/03,30937
140,2010/12/04,30714
141,2010/12/05,26287
142,2010/12/06,26681
143,2010/12/07,27558
144,2010/12/08,29527
145,2010/12/09,23328
146,2010/12/10,14255
147,2010/12/11,19049
148,2010/12/12,17016
149,2010/12/13,15827
150,2010/12/14,21497
151,2010/12/15,21602
152,2010/12/16,18594
153,2010/12/17,18985
154,2010/12/18,20071
155,2010/12/19,21741
156,2010/12/20,18575
157,2010/12/21,21750
158,2010/12/22,15171
159,2010/12/23,17310
160,2010/12/24,17217
161,2010/12/25,18460
162,2010/12/26,17194
163,2010/12/27,19108
164,2010/12/28,18317
165,2010/12/29,19367
166,2010/12/30,21295
167,2010/12/31,20261
168,2011/01/01,21434
169,2011/01/02,20155
170,2011/01/03,16756
171,2011/01/04,17770
172,2011/01/05,18980
173,2011/01/06,16612
174,2011/01/07,21356
175,2011/01/08,18771
176,2011/01/09,20750
177,2011/01/10,18947
178,2011/01/11,21288
179,2011/01/12,19746
180,2011/01/13,20787
181,2011/01/14,22373
182,2011/01/15,20427
183,2011/01/16,21920
184,2011/01/17,20901
185,2011/01/18,15818
186,2011/01/19,18027
187,2011/01/20,20685
188,2011/01/21,20283
189,2011/01/22,24075
190,2011/01/23,23606
191,2011/01/24,25320
192,2011/01/25,21429
193,2011/01/26,22265
194,2011/01/27,18910
195,2011/01/28,19738
196,2011/01/29,21272
197,2011/01/30,20205
198,2011/01/31,25449
199,2011/02/01,26373
200,2011/02/02,31941
201,2011/02/03,33032
202,2011/02/04,38171
203,2011/02/05,37596
204,2011/02/06,41289
205,2011/02/07,43983
206,2011/02/08,32165
207,2011/02/09,41461
208,2011/02/10,39565
209,2011/02/11,39386
210,2011/02/12,40733
211,2011/02/13,40934
212,2011/02/14,40466
213,2011/02/15,44062
214,2011/02/16,42214
215,2011/02/17,37843
216,2011/02/18,27672
217,2011/02/19,21660
218,2011/02/20,26641
219,2011/02/21,23086
220,2011/02/22,24166
221,2011/02/23,27105
222,2011/02/24,24581
223,2011/02/25,26342
224,2011/02/26,28634
225,2011/02/27,17936
226,2011/02/28,13303
227,2011/03/01,14735
228,2011/03/02,18182
229,2011/03/03,18306
230,2011/03/04,17962
231,2011/03/05,18570
232,2011/03/06,16013
233,2011/03/07,13215
234,2011/03/08,15058
235,2011/03/09,13040
236,2011/03/10,9768
237,2011/03/11,12250
238,2011/03/12,12721
239,2011/03/13,10565
240,2011/03/14,11759
241,2011/03/15,12090
242,2011/03/16,11581
243,2011/03/17,11974
244,2011/03/18,9432
245,2011/03/19,10231
246,2011/03/20,10861
247,2011/03/21,10222
248,2011/03/22,9079
249,2011/03/23,12456
250,2011/03/24,10566
251,2011/03/25,14377
252,2011/03/26,11393
253,2011/03/27,11560
254,2011/03/28,12953
255,2011/03/29,11425
256,2011/03/30,11590
257,2011/03/31,12362
258,2011/04/01,10742
259,2011/04/02,11307
260,2011/04/03,11500
261,2011/04/04,10377
262,2011/04/05,10319
263,2011/04/06,8136
264,2011/04/07,8930
265,2011/04/08,9874
266,2011/04/09,8636
267,2011/04/10,9545
268,2011/04/11,9285
269,2011/04/12,9822
270,2011/04/13,11098
271,2011/04/14,11005
272,2011/04/15,11267
273,2011/04/16,13536
274,2011/04/17,13821
275,2011/04/18,11881
276,2011/04/19,13805
277,2011/04/20,12058
278,2011/04/21,12128
279,2011/04/22,15424
280,2011/04/23,16925
281,2011/04/24,17905
282,2011/04/25,19198
283,2011/04/26,17933
284,2011/04/27,19159
285,2011/04/28,22424
286,2011/04/29,28808
287,2011/04/30,29634
288,2011/05/01,29169
289,2011/05/02,29596
290,2011/05/03,30110
291,2011/05/04,31936
292,2011/05/05,32155
293,2011/05/06,31826
294,2011/05/07,31741
295,2011/05/08,36024
296,2011/05/09,33598
297,2011/05/10,26443
298,2011/05/11,36942
299,2011/05/12,36044
300,2011/05/13,50888
301,2011/05/14,50944
302,2011/05/15,42434
303,2011/05/16,51417
304,2011/05/17,49339
305,2011/05/18,45683
306,2011/05/19,22475
307,2011/05/20,26982
