,Date,Decred - Tweets
0,2009/01/03,null
1,2009/01/04,null
2,2009/01/05,null
3,2009/01/06,null
4,2009/01/07,null
5,2009/01/08,null
6,2009/01/09,14
7,2009/01/10,61
8,2009/01/11,93
9,2009/01/12,102
10,2009/01/13,123
11,2009/01/14,133
12,2009/01/15,140
13,2009/01/16,114
14,2009/01/17,109
15,2009/01/18,111
16,2009/01/19,133
17,2009/01/20,123
18,2009/01/21,105
19,2009/01/22,102
20,2009/01/23,95
21,2009/01/24,212
22,2009/01/25,193
23,2009/01/26,117
24,2009/01/27,101
25,2009/01/28,112
26,2009/01/29,134
27,2009/01/30,117
28,2009/01/31,159
29,2009/02/01,116
30,2009/02/02,130
31,2009/02/03,154
32,2009/02/04,119
33,2009/02/05,126
34,2009/02/06,122
35,2009/02/07,156
36,2009/02/08,134
37,2009/02/09,179
38,2009/02/10,120
39,2009/02/11,147
40,2009/02/12,119
41,2009/02/13,124
42,2009/02/14,136
43,2009/02/15,142
44,2009/02/16,153
45,2009/02/17,117
46,2009/02/18,118
47,2009/02/19,141
48,2009/02/20,122
49,2009/02/21,114
50,2009/02/22,133
51,2009/02/23,108
52,2009/02/24,106
53,2009/02/25,105
54,2009/02/26,107
55,2009/02/27,152
56,2009/02/28,107
57,2009/03/01,105
58,2009/03/02,108
59,2009/03/03,114
60,2009/03/04,130
61,2009/03/05,121
62,2009/03/06,117
63,2009/03/07,109
64,2009/03/08,142
65,2009/03/09,108
66,2009/03/10,107
67,2009/03/11,114
68,2009/03/12,122
69,2009/03/13,127
70,2009/03/14,110
71,2009/03/15,123
72,2009/03/16,170
73,2009/03/17,114
74,2009/03/18,129
75,2009/03/19,122
76,2009/03/20,131
77,2009/03/21,50
78,2009/03/22,131
79,2009/03/23,130
80,2009/03/24,105
81,2009/03/25,117
82,2009/03/26,146
83,2009/03/27,106
84,2009/03/28,140
85,2009/03/29,116
86,2009/03/30,120
87,2009/03/31,143
88,2009/04/01,114
89,2009/04/02,115
90,2009/04/03,116
91,2009/04/04,113
92,2009/04/05,148
93,2009/04/06,109
94,2009/04/07,100
95,2009/04/08,105
96,2009/04/09,99
97,2009/04/10,108
98,2009/04/11,128
99,2009/04/12,127
100,2009/04/13,117
101,2009/04/14,124
102,2009/04/15,113
103,2009/04/16,123
104,2009/04/17,112
105,2009/04/18,131
106,2009/04/19,128
107,2009/04/20,236
108,2009/04/21,125
109,2009/04/22,121
110,2009/04/23,75
111,2009/04/24,115
112,2009/04/25,118
113,2009/04/26,128
114,2009/04/27,104
115,2009/04/28,117
116,2009/04/29,149
117,2009/04/30,131
118,2009/05/01,121
119,2009/05/02,142
120,2009/05/03,110
121,2009/05/04,159
122,2009/05/05,146
123,2009/05/06,135
124,2009/05/07,122
125,2009/05/08,107
126,2009/05/09,78
127,2009/05/10,85
128,2009/05/11,123
129,2009/05/12,130
130,2009/05/13,117
131,2009/05/14,145
132,2009/05/15,146
133,2009/05/16,119
134,2009/05/17,127
135,2009/05/18,118
136,2009/05/19,86
137,2009/05/20,120
138,2009/05/21,82
139,2009/05/22,61
140,2009/05/23,32
141,2009/05/24,100
142,2009/05/25,109
143,2009/05/26,125
144,2009/05/27,119
145,2009/05/28,95
146,2009/05/29,167
147,2009/05/30,109
148,2009/05/31,96
149,2009/06/01,73
150,2009/06/02,111
151,2009/06/03,71
152,2009/06/04,66
153,2009/06/05,30
154,2009/06/06,28
155,2009/06/07,16
156,2009/06/08,82
157,2009/06/09,91
158,2009/06/10,82
159,2009/06/11,89
160,2009/06/12,86
161,2009/06/13,78
162,2009/06/14,72
163,2009/06/15,84
164,2009/06/16,71
165,2009/06/17,79
166,2009/06/18,80
167,2009/06/19,87
168,2009/06/20,78
169,2009/06/21,81
170,2009/06/22,137
171,2009/06/23,76
172,2009/06/24,100
173,2009/06/25,89
174,2009/06/26,90
175,2009/06/27,84
176,2009/06/28,48
177,2009/06/29,85
178,2009/06/30,89
179,2009/07/01,77
180,2009/07/02,85
181,2009/07/03,82
182,2009/07/04,89
183,2009/07/05,79
184,2009/07/06,84
185,2009/07/07,69
186,2009/07/08,74
187,2009/07/09,86
188,2009/07/10,81
189,2009/07/11,83
190,2009/07/12,77
191,2009/07/13,78
192,2009/07/14,69
193,2009/07/15,45
194,2009/07/16,71
195,2009/07/17,47
196,2009/07/18,4
197,2009/07/19,70
198,2009/07/20,192
199,2009/07/21,82
200,2009/07/22,60
201,2009/07/23,76
202,2009/07/24,73
203,2009/07/25,32
204,2009/07/26,21
205,2009/07/27,74
206,2009/07/28,41
207,2009/07/29,22
208,2009/07/30,17
209,2009/07/31,17
210,2009/08/01,28
211,2009/08/02,23
212,2009/08/03,12
213,2009/08/04,81
214,2009/08/05,87
215,2009/08/06,90
216,2009/08/07,192
217,2009/08/08,80
218,2009/08/09,101
219,2009/08/10,75
220,2009/08/11,70
221,2009/08/12,63
222,2009/08/13,85
223,2009/08/14,63
224,2009/08/15,26
225,2009/08/16,19
226,2009/08/17,17
227,2009/08/18,10
228,2009/08/19,18
229,2009/08/20,22
230,2009/08/21,14
231,2009/08/22,7
232,2009/08/23,15
233,2009/08/24,15
234,2009/08/25,50
235,2009/08/26,96
236,2009/08/27,29
237,2009/08/28,75
238,2009/08/29,78
239,2009/08/30,99
240,2009/08/31,93
241,2009/09/01,78
242,2009/09/02,66
243,2009/09/03,76
244,2009/09/04,64
245,2009/09/05,76
246,2009/09/06,68
247,2009/09/07,92
248,2009/09/08,69
249,2009/09/09,54
250,2009/09/10,67
251,2009/09/11,67
252,2009/09/12,69
253,2009/09/13,75
254,2009/09/14,74
255,2009/09/15,44
256,2009/09/16,74
257,2009/09/17,186
258,2009/09/18,78
259,2009/09/19,74
260,2009/09/20,78
261,2009/09/21,78
262,2009/09/22,66
263,2009/09/23,36
264,2009/09/24,97
265,2009/09/25,119
266,2009/09/26,100
267,2009/09/27,104
268,2009/09/28,85
269,2009/09/29,133
270,2009/09/30,85
271,2009/10/01,82
272,2009/10/02,83
273,2009/10/03,58
274,2009/10/04,53
275,2009/10/05,55
276,2009/10/06,58
277,2009/10/07,60
278,2009/10/08,70
279,2009/10/09,80
280,2009/10/10,76
281,2009/10/11,74
282,2009/10/12,132
283,2009/10/13,57
284,2009/10/14,69
285,2009/10/15,71
286,2009/10/16,141
287,2009/10/17,57
288,2009/10/18,82
289,2009/10/19,112
290,2009/10/20,197
291,2009/10/21,99
292,2009/10/22,130
293,2009/10/23,89
294,2009/10/24,70
295,2009/10/25,76
296,2009/10/26,71
297,2009/10/27,81
298,2009/10/28,66
299,2009/10/29,89
300,2009/10/30,60
301,2009/10/31,46
302,2009/11/01,25
303,2009/11/02,33
304,2009/11/03,62
305,2009/11/04,105
306,2009/11/05,57
307,2009/11/06,62
308,2009/11/07,69
309,2009/11/08,73
310,2009/11/09,64
311,2009/11/10,78
312,2009/11/11,116
313,2009/11/12,66
314,2009/11/13,93
315,2009/11/14,79
316,2009/11/15,96
317,2009/11/16,97
318,2009/11/17,92
319,2009/11/18,79
320,2009/11/19,153
321,2009/11/20,86
322,2009/11/21,73
323,2009/11/22,106
324,2009/11/23,96
325,2009/11/24,93
326,2009/11/25,90
327,2009/11/26,84
328,2009/11/27,74
329,2009/11/28,71
330,2009/11/29,60
331,2009/11/30,75
332,2009/12/01,240
333,2009/12/02,94
334,2009/12/03,88
335,2009/12/04,36
336,2009/12/05,84
337,2009/12/06,107
338,2009/12/07,112
339,2009/12/08,136
340,2009/12/09,119
341,2009/12/10,104
342,2009/12/11,112
343,2009/12/12,178
344,2009/12/13,114
345,2009/12/14,437
346,2009/12/15,119
347,2009/12/16,154
348,2009/12/17,179
349,2009/12/18,225
350,2009/12/19,200
351,2009/12/20,175
352,2009/12/21,177
353,2009/12/22,162
354,2009/12/23,154
355,2009/12/24,154
356,2009/12/25,151
357,2009/12/26,174
358,2009/12/27,173
359,2009/12/28,137
360,2009/12/29,171
361,2009/12/30,141
362,2009/12/31,138
363,2010/01/01,137
364,2010/01/02,125
365,2010/01/03,186
366,2010/01/04,266
367,2010/01/05,198
368,2010/01/06,163
369,2010/01/07,154
370,2010/01/08,153
371,2010/01/09,151
372,2010/01/10,190
373,2010/01/11,159
374,2010/01/12,375
375,2010/01/13,168
376,2010/01/14,155
377,2010/01/15,147
378,2010/01/16,132
379,2010/01/17,131
380,2010/01/18,128
381,2010/01/19,124
382,2010/01/20,158
383,2010/01/21,187
384,2010/01/22,141
385,2010/01/23,164
386,2010/01/24,156
387,2010/01/25,272
388,2010/01/26,215
389,2010/01/27,181
390,2010/01/28,199
391,2010/01/29,213
392,2010/01/30,248
393,2010/01/31,184
394,2010/02/01,203
395,2010/02/02,167
396,2010/02/03,277
397,2010/02/04,269
398,2010/02/05,472
399,2010/02/06,224
400,2010/02/07,230
401,2010/02/08,329
402,2010/02/09,623
403,2010/02/10,777
404,2010/02/11,245
405,2010/02/12,225
406,2010/02/13,318
407,2010/02/14,263
408,2010/02/15,271
409,2010/02/16,217
410,2010/02/17,267
411,2010/02/18,267
412,2010/02/19,198
413,2010/02/20,221
414,2010/02/21,344
415,2010/02/22,531
416,2010/02/23,252
417,2010/02/24,283
418,2010/02/25,300
419,2010/02/26,196
420,2010/02/27,184
421,2010/02/28,264
422,2010/03/01,227
423,2010/03/02,233
424,2010/03/03,260
425,2010/03/04,575
426,2010/03/05,175
427,2010/03/06,274
428,2010/03/07,297
429,2010/03/08,313
430,2010/03/09,229
431,2010/03/10,211
432,2010/03/11,200
433,2010/03/12,130
434,2010/03/13,190
435,2010/03/14,134
436,2010/03/15,145
437,2010/03/16,154
438,2010/03/17,164
439,2010/03/18,225
440,2010/03/19,289
441,2010/03/20,273
442,2010/03/21,193
443,2010/03/22,224
444,2010/03/23,289
445,2010/03/24,208
446,2010/03/25,539
447,2010/03/26,280
448,2010/03/27,206
449,2010/03/28,207
450,2010/03/29,268
451,2010/03/30,226
452,2010/03/31,238
453,2010/04/01,199
454,2010/04/02,179
455,2010/04/03,192
456,2010/04/04,241
457,2010/04/05,307
458,2010/04/06,267
459,2010/04/07,303
460,2010/04/08,217
461,2010/04/09,320
462,2010/04/10,556
463,2010/04/11,403
464,2010/04/12,355
465,2010/04/13,241
466,2010/04/14,312
467,2010/04/15,927
468,2010/04/16,434
469,2010/04/17,305
470,2010/04/18,3468
471,2010/04/19,546
472,2010/04/20,426
473,2010/04/21,375
474,2010/04/22,233
475,2010/04/23,243
476,2010/04/24,285
477,2010/04/25,344
478,2010/04/26,278
479,2010/04/27,273
480,2010/04/28,323
481,2010/04/29,217
482,2010/04/30,207
483,2010/05/01,264
484,2010/05/02,206
485,2010/05/03,279
486,2010/05/04,325
487,2010/05/05,296
488,2010/05/06,441
489,2010/05/07,234
490,2010/05/08,446
491,2010/05/09,256
492,2010/05/10,297
493,2010/05/11,160
494,2010/05/12,262
495,2010/05/13,257
496,2010/05/14,249
497,2010/05/15,160
498,2010/05/16,169
499,2010/05/17,291
500,2010/05/18,303
501,2010/05/19,312
502,2010/05/20,287
503,2010/05/21,333
504,2010/05/22,345
505,2010/05/23,449
506,2010/05/24,328
507,2010/05/25,345
508,2010/05/26,403
509,2010/05/27,382
510,2010/05/28,360
511,2010/05/29,360
512,2010/05/30,271
513,2010/05/31,281
514,2010/06/01,276
515,2010/06/02,257
516,2010/06/03,402
517,2010/06/04,236
518,2010/06/05,261
519,2010/06/06,270
520,2010/06/07,480
521,2010/06/08,340
522,2010/06/09,352
523,2010/06/10,287
524,2010/06/11,354
525,2010/06/12,293
526,2010/06/13,342
527,2010/06/14,422
528,2010/06/15,365
529,2010/06/16,294
530,2010/06/17,282
531,2010/06/18,274
532,2010/06/19,379
533,2010/06/20,308
534,2010/06/21,346
535,2010/06/22,364
536,2010/06/23,350
537,2010/06/24,368
538,2010/06/25,249
539,2010/06/26,249
540,2010/06/27,316
541,2010/06/28,289
542,2010/06/29,401
543,2010/06/30,450
544,2010/07/01,405
545,2010/07/02,373
546,2010/07/03,358
547,2010/07/04,437
548,2010/07/05,383
549,2010/07/06,266
550,2010/07/07,383
551,2010/07/08,314
552,2010/07/09,348
553,2010/07/10,402
554,2010/07/11,587
555,2010/07/12,3551
556,2010/07/13,1998
557,2010/07/14,6763
558,2010/07/15,2019
559,2010/07/16,1710
560,2010/07/17,804
561,2010/07/18,917
562,2010/07/19,972
563,2010/07/20,906
564,2010/07/21,809
565,2010/07/22,599
566,2010/07/23,652
567,2010/07/24,964
568,2010/07/25,2132
569,2010/07/26,1238
570,2010/07/27,771
571,2010/07/28,674
572,2010/07/29,528
573,2010/07/30,583
574,2010/07/31,475
575,2010/08/01,620
576,2010/08/02,627
577,2010/08/03,974
578,2010/08/04,731
579,2010/08/05,819
580,2010/08/06,638
581,2010/08/07,514
582,2010/08/08,584
583,2010/08/09,778
584,2010/08/10,590
585,2010/08/11,701
586,2010/08/12,579
587,2010/08/13,847
588,2010/08/14,563
589,2010/08/15,425
590,2010/08/16,772
591,2010/08/17,494
592,2010/08/18,726
593,2010/08/19,470
594,2010/08/20,656
595,2010/08/21,528
596,2010/08/22,586
597,2010/08/23,653
598,2010/08/24,632
599,2010/08/25,499
600,2010/08/26,652
601,2010/08/27,497
602,2010/08/28,527
603,2010/08/29,390
604,2010/08/30,522
605,2010/08/31,734
606,2010/09/01,603
607,2010/09/02,543
608,2010/09/03,500
609,2010/09/04,451
610,2010/09/05,548
611,2010/09/06,511
612,2010/09/07,403
613,2010/09/08,545
614,2010/09/09,514
615,2010/09/10,541
616,2010/09/11,433
617,2010/09/12,711
618,2010/09/13,718
619,2010/09/14,664
620,2010/09/15,662
621,2010/09/16,685
622,2010/09/17,1003
623,2010/09/18,562
624,2010/09/19,654
625,2010/09/20,705
626,2010/09/21,1216
627,2010/09/22,1039
628,2010/09/23,1049
629,2010/09/24,807
630,2010/09/25,825
631,2010/09/26,623
632,2010/09/27,1269
633,2010/09/28,1699
634,2010/09/29,1198
635,2010/09/30,638
636,2010/10/01,847
637,2010/10/02,780
638,2010/10/03,672
639,2010/10/04,828
640,2010/10/05,704
641,2010/10/06,692
642,2010/10/07,647
643,2010/10/08,813
644,2010/10/09,750
645,2010/10/10,623
646,2010/10/11,631
647,2010/10/12,646
648,2010/10/13,926
649,2010/10/14,634
650,2010/10/15,581
651,2010/10/16,933
652,2010/10/17,752
653,2010/10/18,947
654,2010/10/19,1408
655,2010/10/20,1183
656,2010/10/21,994
657,2010/10/22,972
658,2010/10/23,835
659,2010/10/24,851
660,2010/10/25,752
661,2010/10/26,866
662,2010/10/27,1117
663,2010/10/28,998
664,2010/10/29,848
665,2010/10/30,659
666,2010/10/31,572
667,2010/11/01,597
668,2010/11/02,458
669,2010/11/03,574
670,2010/11/04,607
671,2010/11/05,835
672,2010/11/06,596
673,2010/11/07,690
674,2010/11/08,1571
675,2010/11/09,648
676,2010/11/10,651
677,2010/11/11,601
678,2010/11/12,456
679,2010/11/13,579
680,2010/11/14,901
681,2010/11/15,4396
682,2010/11/16,3365
683,2010/11/17,675
684,2010/11/18,632
685,2010/11/19,641
686,2010/11/20,784
687,2010/11/21,758
688,2010/11/22,624
689,2010/11/23,660
690,2010/11/24,963
691,2010/11/25,912
692,2010/11/26,1197
693,2010/11/27,822
694,2010/11/28,706
695,2010/11/29,900
696,2010/11/30,797
697,2010/12/01,1109
698,2010/12/02,812
699,2010/12/03,881
700,2010/12/04,729
701,2010/12/05,695
702,2010/12/06,734
703,2010/12/07,1142
704,2010/12/08,903
705,2010/12/09,835
706,2010/12/10,636
707,2010/12/11,1070
708,2010/12/12,1194
709,2010/12/13,1676
710,2010/12/14,1137
711,2010/12/15,1085
712,2010/12/16,949
713,2010/12/17,796
714,2010/12/18,858
715,2010/12/19,1088
716,2010/12/20,1461
717,2010/12/21,1089
718,2010/12/22,1210
719,2010/12/23,1018
720,2010/12/24,851
721,2010/12/25,1076
722,2010/12/26,1028
723,2010/12/27,1140
724,2010/12/28,1030
725,2010/12/29,990
726,2010/12/30,1091
727,2010/12/31,898
728,2011/01/01,1077
729,2011/01/02,1051
730,2011/01/03,1398
731,2011/01/04,1078
732,2011/01/05,1540
733,2011/01/06,1161
734,2011/01/07,1254
735,2011/01/08,1473
736,2011/01/09,1383
737,2011/01/10,1437
738,2011/01/11,1552
739,2011/01/12,1263
740,2011/01/13,1696
741,2011/01/14,1607
742,2011/01/15,1422
743,2011/01/16,1536
744,2011/01/17,1348
745,2011/01/18,1416
746,2011/01/19,1545
747,2011/01/20,1453
748,2011/01/21,1969
749,2011/01/22,2196
750,2011/01/23,1932
751,2011/01/24,2058
752,2011/01/25,1445
753,2011/01/26,1586
754,2011/01/27,1653
755,2011/01/28,1690
756,2011/01/29,2077
757,2011/01/30,3198
758,2011/01/31,2229
759,2011/02/01,1916
760,2011/02/02,1490
761,2011/02/03,1266
762,2011/02/04,1509
763,2011/02/05,1525
764,2011/02/06,1393
765,2011/02/07,1398
766,2011/02/08,1427
767,2011/02/09,2088
768,2011/02/10,3549
769,2011/02/11,4310
770,2011/02/12,3300
771,2011/02/13,3266
772,2011/02/14,4117
773,2011/02/15,3410
774,2011/02/16,2982
775,2011/02/17,3492
776,2011/02/18,3608
777,2011/02/19,2892
778,2011/02/20,3177
779,2011/02/21,3291
780,2011/02/22,3781
781,2011/02/23,3798
782,2011/02/24,3676
783,2011/02/25,3416
784,2011/02/26,3581
785,2011/02/27,3633
786,2011/02/28,3028
787,2011/03/01,5194
788,2011/03/02,3728
789,2011/03/03,4894
790,2011/03/04,3281
791,2011/03/05,3610
792,2011/03/06,3316
793,2011/03/07,3409
794,2011/03/08,3867
