,Date,Decred - Tweets
0,2010/07/17,169839
1,2010/07/18,249761
2,2010/07/19,295981
3,2010/07/20,270546
4,2010/07/21,265900
5,2010/07/22,225420
6,2010/07/23,197086
7,2010/07/24,202929
8,2010/07/25,185609
9,2010/07/26,186308
10,2010/07/27,204589
11,2010/07/28,210197
12,2010/07/29,229629
13,2010/07/30,235363
14,2010/07/31,236589
15,2010/08/01,218064
16,2010/08/02,219511
17,2010/08/03,215757
18,2010/08/04,215175
19,2010/08/05,215538
20,2010/08/06,225626
21,2010/08/07,217898
22,2010/08/08,218545
23,2010/08/09,241092
24,2010/08/10,252878
25,2010/08/11,233328
26,2010/08/12,254341
27,2010/08/13,242150
28,2010/08/14,245635
29,2010/08/15,246175
30,2010/08/16,240142
31,2010/08/17,253348
32,2010/08/18,258448
33,2010/08/19,252547
34,2010/08/20,248490
35,2010/08/21,248562
36,2010/08/22,247433
37,2010/08/23,247957
38,2010/08/24,246754
39,2010/08/25,249910
40,2010/08/26,246034
41,2010/08/27,247093
42,2010/08/28,247836
43,2010/08/29,247616
44,2010/08/30,249814
45,2010/08/31,239749
46,2010/09/01,241850
47,2010/09/02,241370
48,2010/09/03,236898
49,2010/09/04,240865
50,2010/09/05,242245
51,2010/09/06,243246
52,2010/09/07,240403
53,2010/09/08,241680
54,2010/09/09,240631
55,2010/09/10,242208
56,2010/09/11,248207
57,2010/09/12,244827
58,2010/09/13,246505
59,2010/09/14,246678
60,2010/09/15,245133
61,2010/09/16,247451
62,2010/09/17,240293
63,2010/09/18,241137
64,2010/09/19,249124
65,2010/09/20,250962
66,2010/09/21,254732
67,2010/09/22,252735
68,2010/09/23,253093
69,2010/09/24,253576
70,2010/09/25,254162
71,2010/09/26,254415
72,2010/09/27,255503
73,2010/09/28,255390
74,2010/09/29,256150
75,2010/09/30,256099
76,2010/10/01,257006
77,2010/10/02,256278
78,2010/10/03,254983
79,2010/10/04,255315
80,2010/10/05,256431
81,2010/10/06,259976
82,2010/10/07,272850
83,2010/10/08,323006
84,2010/10/09,371894
85,2010/10/10,399357
86,2010/10/11,392809
87,2010/10/12,399684
88,2010/10/13,417586
89,2010/10/14,438632
90,2010/10/15,436496
91,2010/10/16,428869
92,2010/10/17,436585
93,2010/10/18,440968
94,2010/10/19,424161
95,2010/10/20,429740
96,2010/10/21,442318
97,2010/10/22,456965
98,2010/10/23,464277
99,2010/10/24,485933
100,2010/10/25,485067
101,2010/10/26,620193
102,2010/10/27,743514
103,2010/10/28,786908
104,2010/10/29,815999
105,2010/10/30,854774
106,2010/10/31,857209
107,2010/11/01,862272
108,2010/11/02,859090
109,2010/11/03,863242
110,2010/11/04,958988
111,2010/11/05,1053471
112,2010/11/06,1464669
113,2010/11/07,1823996
114,2010/11/08,1329677
115,2010/11/09,1073503
116,2010/11/10,1021590
117,2010/11/11,1030700
118,2010/11/12,1133761
119,2010/11/13,1286441
120,2010/11/14,1271347
121,2010/11/15,1256983
122,2010/11/16,1130948
123,2010/11/17,1044784
124,2010/11/18,1133163
125,2010/11/19,1271768
126,2010/11/20,1307999
127,2010/11/21,1286487
128,2010/11/22,1305266
129,2010/11/23,1319591
130,2010/11/24,1322715
131,2010/11/25,1317164
132,2010/11/26,1321797
133,2010/11/27,1333957
134,2010/11/28,1302591
135,2010/11/29,1200902
136,2010/11/30,1036117
137,2010/12/01,1035723
138,2010/12/02,1147016
139,2010/12/03,1192236
140,2010/12/04,1096732
141,2010/12/05,979869
142,2010/12/06,1027841
143,2010/12/07,1025142
144,2010/12/08,1152903
145,2010/12/09,1028300
146,2010/12/10,977448
147,2010/12/11,1045083
148,2010/12/12,1038959
149,2010/12/13,1069970
150,2010/12/14,1158192
151,2010/12/15,1180486
152,2010/12/16,1192818
153,2010/12/17,1197451
154,2010/12/18,1201197
155,2010/12/19,1199237
156,2010/12/20,1248252
157,2010/12/21,1232762
158,2010/12/22,1220279
159,2010/12/23,1232226
160,2010/12/24,1234032
161,2010/12/25,1234385
162,2010/12/26,1279977
163,2010/12/27,1284582
164,2010/12/28,1356546
165,2010/12/29,1426287
166,2010/12/30,1478682
167,2010/12/31,1503735
168,2011/01/01,1486083
169,2011/01/02,1495199
170,2011/01/03,1473717
