,Date,Decred - Tweets
0,2009/01/03,1
1,2009/01/04,null
2,2009/01/05,null
3,2009/01/06,null
4,2009/01/07,null
5,2009/01/08,null
6,2009/01/09,1
7,2009/01/10,1
8,2009/01/11,1
9,2009/01/12,1
10,2009/01/13,1
11,2009/01/14,1
12,2009/01/15,1
13,2009/01/16,1
14,2009/01/17,1
15,2009/01/18,1
16,2009/01/19,1
17,2009/01/20,1
18,2009/01/21,1
19,2009/01/22,1
20,2009/01/23,1
21,2009/01/24,1
22,2009/01/25,1
23,2009/01/26,1
24,2009/01/27,1
25,2009/01/28,1
26,2009/01/29,1
27,2009/01/30,1
28,2009/01/31,1
29,2009/02/01,1
30,2009/02/02,1
31,2009/02/03,1
32,2009/02/04,1
33,2009/02/05,1
34,2009/02/06,1
35,2009/02/07,1
36,2009/02/08,1
37,2009/02/09,1
38,2009/02/10,1
39,2009/02/11,1
40,2009/02/12,1
41,2009/02/13,1
42,2009/02/14,1
43,2009/02/15,1
44,2009/02/16,1
45,2009/02/17,1
46,2009/02/18,1
47,2009/02/19,1
48,2009/02/20,1
49,2009/02/21,1
50,2009/02/22,1
51,2009/02/23,1
52,2009/02/24,1
53,2009/02/25,1
54,2009/02/26,1
55,2009/02/27,1
56,2009/02/28,1
57,2009/03/01,1
58,2009/03/02,1
59,2009/03/03,1
60,2009/03/04,1
61,2009/03/05,1
62,2009/03/06,1
63,2009/03/07,1
64,2009/03/08,1
65,2009/03/09,1
66,2009/03/10,1
67,2009/03/11,1
68,2009/03/12,1
69,2009/03/13,1
70,2009/03/14,1
71,2009/03/15,1
72,2009/03/16,1
73,2009/03/17,1
74,2009/03/18,1
75,2009/03/19,1
76,2009/03/20,1
77,2009/03/21,1
78,2009/03/22,1
79,2009/03/23,1
80,2009/03/24,1
81,2009/03/25,1
82,2009/03/26,1
83,2009/03/27,1
84,2009/03/28,1
85,2009/03/29,1
86,2009/03/30,1
87,2009/03/31,1
88,2009/04/01,1
89,2009/04/02,1
90,2009/04/03,1
91,2009/04/04,1
92,2009/04/05,1
93,2009/04/06,1
94,2009/04/07,1
95,2009/04/08,1
96,2009/04/09,1
97,2009/04/10,1
98,2009/04/11,1
