,Date,Decred - Tweets
0,2010/07/17,1.05E-5
1,2010/07/18,0.000243
2,2010/07/19,2.18E-5
3,2010/07/20,null
4,2010/07/21,null
5,2010/07/22,null
6,2010/07/23,2.61E-6
7,2010/07/24,null
8,2010/07/25,9.65E-5
9,2010/07/26,0.000357
10,2010/07/27,0.000149
11,2010/07/28,3.48E-5
12,2010/07/29,3.42E-5
13,2010/07/30,0.000134
14,2010/07/31,0.000217
15,2010/08/01,0.000151
16,2010/08/02,8.25E-5
17,2010/08/03,null
18,2010/08/04,null
19,2010/08/05,null
20,2010/08/06,null
21,2010/08/07,0.00117
22,2010/08/08,null
23,2010/08/09,0.00122
24,2010/08/10,null
25,2010/08/11,null
26,2010/08/12,null
27,2010/08/13,null
28,2010/08/14,null
29,2010/08/15,null
30,2010/08/16,0.000141
31,2010/08/17,null
32,2010/08/18,0.000441
33,2010/08/19,null
34,2010/08/20,null
35,2010/08/21,null
36,2010/08/22,null
37,2010/08/23,null
38,2010/08/24,0.000317
39,2010/08/25,null
40,2010/08/26,null
41,2010/08/27,null
42,2010/08/28,4.2E-10
43,2010/08/29,0.000151
44,2010/08/30,0.00013
45,2010/08/31,4.83E-5
46,2010/09/01,2.24E-5
47,2010/09/02,null
48,2010/09/03,null
49,2010/09/04,null
50,2010/09/05,4.25E-6
51,2010/09/06,5.18E-11
52,2010/09/07,null
53,2010/09/08,7.07E-11
54,2010/09/09,3.56E-5
55,2010/09/10,3.36E-11
56,2010/09/11,null
57,2010/09/12,4.59E-5
58,2010/09/13,2.34E-11
59,2010/09/14,2.69E-6
60,2010/09/15,null
61,2010/09/16,null
62,2010/09/17,null
63,2010/09/18,6.67E-5
64,2010/09/19,null
65,2010/09/20,null
66,2010/09/21,9.86E-12
67,2010/09/22,null
68,2010/09/23,null
69,2010/09/24,null
70,2010/09/25,null
71,2010/09/26,null
72,2010/09/27,3.32E-6
73,2010/09/28,0.00032
74,2010/09/29,null
75,2010/09/30,null
76,2010/10/01,8.07E-5
77,2010/10/02,1.19E-6
78,2010/10/03,1.87E-6
79,2010/10/04,2.39E-10
80,2010/10/05,null
81,2010/10/06,2.87E-10
82,2010/10/07,null
83,2010/10/08,null
84,2010/10/09,null
85,2010/10/10,null
86,2010/10/11,5.54E-10
87,2010/10/12,null
88,2010/10/13,0.000183
89,2010/10/14,null
90,2010/10/15,null
91,2010/10/16,null
92,2010/10/17,null
93,2010/10/18,6.22E-6
94,2010/10/19,null
95,2010/10/20,null
96,2010/10/21,2.17E-6
97,2010/10/22,null
98,2010/10/23,1.56E-5
99,2010/10/24,null
100,2010/10/25,null
101,2010/10/26,null
102,2010/10/27,null
103,2010/10/28,null
104,2010/10/29,null
105,2010/10/30,null
106,2010/10/31,null
107,2010/11/01,null
108,2010/11/02,null
109,2010/11/03,null
110,2010/11/04,null
111,2010/11/05,null
112,2010/11/06,null
113,2010/11/07,null
114,2010/11/08,0.00102
115,2010/11/09,null
116,2010/11/10,null
117,2010/11/11,null
118,2010/11/12,null
119,2010/11/13,null
120,2010/11/14,null
121,2010/11/15,2.81E-5
122,2010/11/16,null
123,2010/11/17,null
124,2010/11/18,null
125,2010/11/19,2.31E-6
126,2010/11/20,2.93E-5
127,2010/11/21,2.9E-5
128,2010/11/22,0.000872
129,2010/11/23,0.000675
130,2010/11/24,1.43E-5
131,2010/11/25,null
132,2010/11/26,9.31E-5
133,2010/11/27,2.14E-5
134,2010/11/28,null
135,2010/11/29,3.12E-5
136,2010/11/30,8.69E-6
137,2010/12/01,2.7E-5
138,2010/12/02,5.33E-5
139,2010/12/03,1.28E-5
140,2010/12/04,1.33E-5
141,2010/12/05,3.15E-5
142,2010/12/06,4.33E-5
143,2010/12/07,5.25E-5
144,2010/12/08,3.36E-5
145,2010/12/09,3.02E-5
146,2010/12/10,6.26E-5
147,2010/12/11,6.74E-5
148,2010/12/12,6.74E-5
149,2010/12/13,0.000136
150,2010/12/14,2.41E-5
151,2010/12/15,3.66E-5
152,2010/12/16,7.06E-5
153,2010/12/17,0.000194
154,2010/12/18,4.82E-5
155,2010/12/19,7.69E-5
156,2010/12/20,2.2E-5
157,2010/12/21,6.34E-5
158,2010/12/22,8.73E-5
159,2010/12/23,3.99E-5
160,2010/12/24,5.09E-5
161,2010/12/25,3.6E-5
162,2010/12/26,5.61E-5
163,2010/12/27,5.49E-5
164,2010/12/28,5.72E-5
165,2010/12/29,0.000111
166,2010/12/30,6.44E-5
167,2010/12/31,1.78E-5
168,2011/01/01,5.52E-5
169,2011/01/02,6.62E-5
170,2011/01/03,0.000219
171,2011/01/04,1.11E-5
172,2011/01/05,2.37E-5
173,2011/01/06,4.48E-5
174,2011/01/07,1.93E-5
175,2011/01/08,4.41E-6
176,2011/01/09,4.27E-5
177,2011/01/10,1.94E-5
178,2011/01/11,1.14E-5
179,2011/01/12,9.42E-5
180,2011/01/13,7.36E-6
181,2011/01/14,2.16E-5
182,2011/01/15,5.12E-5
183,2011/01/16,4.48E-5
184,2011/01/17,8.97E-5
185,2011/01/18,1.84E-5
186,2011/01/19,2.09E-5
187,2011/01/20,5.59E-5
188,2011/01/21,2.06E-5
189,2011/01/22,0.000159
190,2011/01/23,0.000175
191,2011/01/24,8.77E-5
192,2011/01/25,7.31E-5
193,2011/01/26,5.52E-5
194,2011/01/27,0.00036
195,2011/01/28,2.82E-5
196,2011/01/29,0.000165
197,2011/01/30,0.000536
198,2011/01/31,0.000311
199,2011/02/01,0.000584
200,2011/02/02,4.83E-5
201,2011/02/03,0.000189
202,2011/02/04,0.000124
203,2011/02/05,0.000213
204,2011/02/06,0.000151
205,2011/02/07,0.00041
206,2011/02/08,0.000236
207,2011/02/09,6.31E-5
208,2011/02/10,0.000487
209,2011/02/11,0.000236
210,2011/02/12,0.000452
211,2011/02/13,0.000155
212,2011/02/14,0.0016
213,2011/02/15,0.000128
214,2011/02/16,0.000333
215,2011/02/17,6.37E-5
216,2011/02/18,0.000277
217,2011/02/19,0.000339
218,2011/02/20,0.000103
