,Date,Decred - Tweets
0,2010/07/17,2.924
1,2010/07/18,6.237
2,2010/07/19,7.666
3,2010/07/20,3.94
4,2010/07/21,4.583
5,2010/07/22,6.474
6,2010/07/23,2.837
7,2010/07/24,2.842
8,2010/07/25,1.368
9,2010/07/26,9.868
10,2010/07/27,4.343
11,2010/07/28,2.059
12,2010/07/29,0.662
13,2010/07/30,4.11
14,2010/07/31,3.475
15,2010/08/01,45.301
16,2010/08/02,9.782
17,2010/08/03,3.748
18,2010/08/04,4.57
19,2010/08/05,4.718
20,2010/08/06,3.217
21,2010/08/07,5.545
22,2010/08/08,1.585
23,2010/08/09,12.034
24,2010/08/10,6.874
25,2010/08/11,8.46
26,2010/08/12,2.764
27,2010/08/13,4.451
28,2010/08/14,2.473
29,2010/08/15,3.552
30,2010/08/16,9.826
31,2010/08/17,10.652
32,2010/08/18,6.842
33,2010/08/19,4.225
34,2010/08/20,4.622
35,2010/08/21,7.459
36,2010/08/22,3.654
37,2010/08/23,3.153
38,2010/08/24,3.615
39,2010/08/25,2.86
40,2010/08/26,2.493
41,2010/08/27,6.296
42,2010/08/28,3.166
43,2010/08/29,2.13
44,2010/08/30,2.725
45,2010/08/31,5.65
46,2010/09/01,4.726
47,2010/09/02,6.731
48,2010/09/03,5.702
49,2010/09/04,6.774
50,2010/09/05,27.365
51,2010/09/06,16.902
52,2010/09/07,3.965
53,2010/09/08,3.202
54,2010/09/09,6.444
55,2010/09/10,2.417
56,2010/09/11,2.103
57,2010/09/12,3.028
58,2010/09/13,16.686
59,2010/09/14,4.429
60,2010/09/15,5.704
61,2010/09/16,4.887
62,2010/09/17,12.503
63,2010/09/18,6.56
64,2010/09/19,8.902
65,2010/09/20,5.549
66,2010/09/21,2.151
67,2010/09/22,4.133
68,2010/09/23,12.023
69,2010/09/24,2.399
70,2010/09/25,3.497
71,2010/09/26,3.486
72,2010/09/27,3.439
73,2010/09/28,10.302
74,2010/09/29,5.974
75,2010/09/30,7.048
76,2010/10/01,6.181
77,2010/10/02,44.77
78,2010/10/03,12.309
79,2010/10/04,83.668
80,2010/10/05,32.061
81,2010/10/06,18.555
82,2010/10/07,24.387
83,2010/10/08,32.454
84,2010/10/09,40.929
85,2010/10/10,30.917
86,2010/10/11,14.918
87,2010/10/12,20.949
88,2010/10/13,30.917
89,2010/10/14,50.052
90,2010/10/15,45.771
91,2010/10/16,45.166
92,2010/10/17,24.215
93,2010/10/18,38.587
94,2010/10/19,28.317
95,2010/10/20,27.863
96,2010/10/21,34.459
97,2010/10/22,22.629
98,2010/10/23,8.909
99,2010/10/24,21.169
100,2010/10/25,40.625
101,2010/10/26,49.589
102,2010/10/27,60.185
103,2010/10/28,69.027
104,2010/10/29,34.089
105,2010/10/30,26.534
106,2010/10/31,40.857
107,2010/11/01,23.356
108,2010/11/02,42.172
109,2010/11/03,31.766
110,2010/11/04,98.32
111,2010/11/05,22.34
112,2010/11/06,104.697
113,2010/11/07,80.598
114,2010/11/08,285.555
115,2010/11/09,29.997
116,2010/11/10,33.181
117,2010/11/11,23.865
118,2010/11/12,29.278
119,2010/11/13,31.274
120,2010/11/14,23.626
121,2010/11/15,14.717
122,2010/11/16,10.199
123,2010/11/17,32.319
124,2010/11/18,9.755
125,2010/11/19,1.548
126,2010/11/20,4.603
127,2010/11/21,3.47
128,2010/11/22,25.649
129,2010/11/23,35.347
130,2010/11/24,2.776
131,2010/11/25,2.856
132,2010/11/26,19.103
133,2010/11/27,15.479
134,2010/11/28,14.789
135,2010/11/29,19.442
136,2010/11/30,28.829
137,2010/12/01,23.491
138,2010/12/02,32.159
139,2010/12/03,17.995
140,2010/12/04,35.879
141,2010/12/05,10.121
142,2010/12/06,44.298
143,2010/12/07,32.346
144,2010/12/08,13.571
145,2010/12/09,18.623
146,2010/12/10,14.428
147,2010/12/11,31.278
148,2010/12/12,15.906
149,2010/12/13,60.857
150,2010/12/14,42.357
151,2010/12/15,42.579
152,2010/12/16,38.937
153,2010/12/17,33.388
154,2010/12/18,40.815
155,2010/12/19,43.416
156,2010/12/20,22.615
157,2010/12/21,40.383
158,2010/12/22,30.959
159,2010/12/23,30.182
160,2010/12/24,28.326
161,2010/12/25,44.169
162,2010/12/26,30.876
163,2010/12/27,44.89
164,2010/12/28,23.299
165,2010/12/29,61.691
166,2010/12/30,32.191
167,2010/12/31,32.117
168,2011/01/01,24.815
169,2011/01/02,24.328
170,2011/01/03,17.53
171,2011/01/04,12.212
172,2011/01/05,11.111
173,2011/01/06,13.757
174,2011/01/07,17.117
175,2011/01/08,12.98
176,2011/01/09,10.109
177,2011/01/10,20.334
178,2011/01/11,25.013
179,2011/01/12,16.432
180,2011/01/13,30.148
181,2011/01/14,24.242
182,2011/01/15,23.307
183,2011/01/16,27.373
184,2011/01/17,25.884
185,2011/01/18,42.472
186,2011/01/19,20.413
187,2011/01/20,19.839
188,2011/01/21,21.175
189,2011/01/22,20.93
190,2011/01/23,32.859
191,2011/01/24,22.483
192,2011/01/25,25.492
193,2011/01/26,27.064
194,2011/01/27,511.265
195,2011/01/28,18.491
196,2011/01/29,22.188
197,2011/01/30,69.652
198,2011/01/31,67.919
199,2011/02/01,74.951
200,2011/02/02,90.574
201,2011/02/03,58.811
202,2011/02/04,42.648
203,2011/02/05,73.595
204,2011/02/06,77.894
205,2011/02/07,155.261
206,2011/02/08,71.25
207,2011/02/09,104.211
208,2011/02/10,110.053
209,2011/02/11,109.643
210,2011/02/12,71.983
211,2011/02/13,60.094
212,2011/02/14,68.463
213,2011/02/15,43.445
214,2011/02/16,30.794
215,2011/02/17,43.384
216,2011/02/18,55.585
217,2011/02/19,100.133
218,2011/02/20,100.11
219,2011/02/21,96.942
220,2011/02/22,136.067
221,2011/02/23,143.787
222,2011/02/24,100.613
223,2011/02/25,80.197
224,2011/02/26,78.99
225,2011/02/27,77.265
226,2011/02/28,63.534
227,2011/03/01,337.047
228,2011/03/02,1128
229,2011/03/03,66.091
230,2011/03/04,138.2
231,2011/03/05,56.976
232,2011/03/06,81.53
233,2011/03/07,94.402
234,2011/03/08,66.957
235,2011/03/09,114.397
236,2011/03/10,183.206
237,2011/03/11,116.334
238,2011/03/12,47.597
239,2011/03/13,67.827
240,2011/03/14,70.214
241,2011/03/15,37.574
242,2011/03/16,41.686
243,2011/03/17,39.819
244,2011/03/18,59.99
245,2011/03/19,28.792
246,2011/03/20,25.667
247,2011/03/21,19.666
248,2011/03/22,71.708
249,2011/03/23,46.224
250,2011/03/24,98.837
251,2011/03/25,124.882
252,2011/03/26,83.229
253,2011/03/27,48.595
254,2011/03/28,37.424
255,2011/03/29,32.232
256,2011/03/30,55.044
257,2011/03/31,51.553
258,2011/04/01,38.544
259,2011/04/02,41.743
260,2011/04/03,35.201
261,2011/04/04,45.428
262,2011/04/05,39.615
263,2011/04/06,34.327
264,2011/04/07,49.533
265,2011/04/08,54.447
266,2011/04/09,60.462
267,2011/04/10,36.238
268,2011/04/11,33.722
269,2011/04/12,54.57
270,2011/04/13,66.905
271,2011/04/14,49.075
272,2011/04/15,49.839
273,2011/04/16,162.288
274,2011/04/17,622.288
275,2011/04/18,48.663
276,2011/04/19,868.625
277,2011/04/20,1873
278,2011/04/21,265.133
279,2011/04/22,98.508
280,2011/04/23,111.119
281,2011/04/24,76.705
282,2011/04/25,60.262
283,2011/04/26,87.003
284,2011/04/27,99.483
285,2011/04/28,100.28
286,2011/04/29,559.394
287,2011/04/30,290.515
288,2011/05/01,134.296
289,2011/05/02,121.637
290,2011/05/03,211.643
291,2011/05/04,343.856
292,2011/05/05,154.451
293,2011/05/06,289.59
294,2011/05/07,202.51
295,2011/05/08,686.358
296,2011/05/09,166.506
297,2011/05/10,866.511
298,2011/05/11,322.252
299,2011/05/12,364.636
300,2011/05/13,808.747
301,2011/05/14,3101
302,2011/05/15,578.231
303,2011/05/16,480.441
304,2011/05/17,365.025
305,2011/05/18,228.173
306,2011/05/19,263.062
307,2011/05/20,446.433
308,2011/05/21,785.14
309,2011/05/22,1067
310,2011/05/23,551.964
311,2011/05/24,440.17
312,2011/05/25,484.642
313,2011/05/26,505.188
314,2011/05/27,950.378
315,2011/05/28,378.074
316,2011/05/29,467.276
317,2011/05/30,434.997
318,2011/05/31,405.166
319,2011/06/01,380.192
320,2011/06/02,500.788
321,2011/06/03,902.489
322,2011/06/04,891.803
323,2011/06/05,1149
324,2011/06/06,1503
325,2011/06/07,1232
326,2011/06/08,1787
327,2011/06/09,1864
328,2011/06/10,2162
329,2011/06/11,2613
330,2011/06/12,2447
331,2011/06/13,2163
332,2011/06/14,2121
333,2011/06/15,6503
334,2011/06/16,12545
335,2011/06/17,2267
336,2011/06/18,1788
337,2011/06/19,6833
338,2011/06/20,2017
339,2011/06/21,5800
340,2011/06/22,1951
341,2011/06/23,2648
342,2011/06/24,7432
343,2011/06/25,18798
344,2011/06/26,6877
345,2011/06/27,2641
346,2011/06/28,10789
347,2011/06/29,4692
348,2011/06/30,2559
349,2011/07/01,1646
350,2011/07/02,1663
351,2011/07/03,1051
352,2011/07/04,2067
353,2011/07/05,608.928
354,2011/07/06,749.165
355,2011/07/07,747.59
356,2011/07/08,519.796
357,2011/07/09,3793
358,2011/07/10,4230
359,2011/07/11,1392
360,2011/07/12,1849
361,2011/07/13,2171
362,2011/07/14,3087
363,2011/07/15,1038
364,2011/07/16,1935
365,2011/07/17,902.338
366,2011/07/18,4899
367,2011/07/19,4067
368,2011/07/20,845.009
369,2011/07/21,2231
370,2011/07/22,2356
371,2011/07/23,1115
372,2011/07/24,911.642
373,2011/07/25,2118
374,2011/07/26,1967
375,2011/07/27,2206
376,2011/07/28,5721
377,2011/07/29,1272
378,2011/07/30,706.627
379,2011/07/31,986.422
380,2011/08/01,872.598
381,2011/08/02,566.886
382,2011/08/03,561.865
383,2011/08/04,384.479
384,2011/08/05,688.194
