,Date,Decred - Tweets
0,2010/07/17,1193
1,2010/07/18,2612
2,2010/07/19,4047
3,2010/07/20,2341
4,2010/07/21,2122
5,2010/07/22,2570
6,2010/07/23,1166
7,2010/07/24,2540
8,2010/07/25,2493
9,2010/07/26,4608
10,2010/07/27,1850
11,2010/07/28,4012
12,2010/07/29,1230
13,2010/07/30,1336
14,2010/07/31,1025
15,2010/08/01,16490
16,2010/08/02,3893
17,2010/08/03,2429
18,2010/08/04,2005
19,2010/08/05,2430
20,2010/08/06,1155
21,2010/08/07,1514
22,2010/08/08,616.346
23,2010/08/09,5060
24,2010/08/10,2337
25,2010/08/11,3479
26,2010/08/12,1083
27,2010/08/13,2297
28,2010/08/14,1063
29,2010/08/15,1119
30,2010/08/16,4352
31,2010/08/17,3387
32,2010/08/18,2580
33,2010/08/19,1373
34,2010/08/20,1955
35,2010/08/21,2551
36,2010/08/22,1337
37,2010/08/23,1164
38,2010/08/24,1370
39,2010/08/25,1044
40,2010/08/26,917.558
41,2010/08/27,1851
42,2010/08/28,1073
43,2010/08/29,553.699
44,2010/08/30,896.538
45,2010/08/31,2489
46,2010/09/01,1796
47,2010/09/02,2161
48,2010/09/03,1819
49,2010/09/04,1856
50,2010/09/05,8510
51,2010/09/06,4699
52,2010/09/07,1118
53,2010/09/08,1085
54,2010/09/09,2088
55,2010/09/10,870.212
56,2010/09/11,641.512
57,2010/09/12,1147
58,2010/09/13,7275
59,2010/09/14,1878
60,2010/09/15,2453
61,2010/09/16,2141
62,2010/09/17,4514
63,2010/09/18,2617
64,2010/09/19,3160
65,2010/09/20,2580
66,2010/09/21,1742
67,2010/09/22,2782
68,2010/09/23,7875
69,2010/09/24,1202
70,2010/09/25,1860
71,2010/09/26,1394
72,2010/09/27,2073
73,2010/09/28,5057
74,2010/09/29,5810
75,2010/09/30,2573
76,2010/10/01,3609
77,2010/10/02,22430
78,2010/10/03,4640
79,2010/10/04,34053
80,2010/10/05,11895
81,2010/10/06,7552
82,2010/10/07,8292
83,2010/10/08,11781
84,2010/10/09,16413
85,2010/10/10,11204
86,2010/10/11,5102
87,2010/10/12,7374
88,2010/10/13,11254
89,2010/10/14,18369
90,2010/10/15,15013
91,2010/10/16,19918
92,2010/10/17,11066
93,2010/10/18,22342
94,2010/10/19,26165
95,2010/10/20,19866
96,2010/10/21,19022
97,2010/10/22,13623
98,2010/10/23,4606
99,2010/10/24,11685
100,2010/10/25,16656
101,2010/10/26,25686
102,2010/10/27,34177
103,2010/10/28,33547
104,2010/10/29,15920
105,2010/10/30,11303
106,2010/10/31,12543
107,2010/11/01,8198
108,2010/11/02,12061
109,2010/11/03,11023
110,2010/11/04,33615
111,2010/11/05,9874
112,2010/11/06,41250
113,2010/11/07,36350
114,2010/11/08,147061
115,2010/11/09,12260
116,2010/11/10,13173
117,2010/11/11,9427
118,2010/11/12,8374
119,2010/11/13,10727
120,2010/11/14,9828
121,2010/11/15,71680
122,2010/11/16,25653
123,2010/11/17,14059
124,2010/11/18,14560
125,2010/11/19,14856
126,2010/11/20,44762
127,2010/11/21,34823
128,2010/11/22,8797
129,2010/11/23,12053
130,2010/11/24,10919
131,2010/11/25,14232
132,2010/11/26,25099
133,2010/11/27,6888
134,2010/11/28,6714
135,2010/11/29,8827
136,2010/11/30,13088
137,2010/12/01,12027
138,2010/12/02,14793
139,2010/12/03,6910
140,2010/12/04,14997
141,2010/12/05,4392
142,2010/12/06,20598
143,2010/12/07,18528
144,2010/12/08,7097
145,2010/12/09,9051
146,2010/12/10,5382
147,2010/12/11,17203
148,2010/12/12,10227
149,2010/12/13,39314
150,2010/12/14,27659
151,2010/12/15,27336
152,2010/12/16,20675
153,2010/12/17,15425
154,2010/12/18,20367
155,2010/12/19,23922
156,2010/12/20,21078
157,2010/12/21,25401
158,2010/12/22,20433
159,2010/12/23,15616
160,2010/12/24,15041
161,2010/12/25,28003
162,2010/12/26,18032
163,2010/12/27,22322
164,2010/12/28,15401
165,2010/12/29,31647
166,2010/12/30,19089
167,2010/12/31,17822
168,2011/01/01,16353
169,2011/01/02,13842
170,2011/01/03,19774
171,2011/01/04,11956
172,2011/01/05,14551
173,2011/01/06,9547
174,2011/01/07,17456
175,2011/01/08,18637
176,2011/01/09,12364
177,2011/01/10,26675
178,2011/01/11,34068
179,2011/01/12,19022
180,2011/01/13,38168
181,2011/01/14,30593
182,2011/01/15,22419
183,2011/01/16,25484
184,2011/01/17,21482
185,2011/01/18,34742
186,2011/01/19,18718
187,2011/01/20,18328
188,2011/01/21,24690
189,2011/01/22,29762
190,2011/01/23,35517
191,2011/01/24,29656
192,2011/01/25,22662
193,2011/01/26,27199
194,2011/01/27,429974
195,2011/01/28,19964
196,2011/01/29,29886
197,2011/01/30,180538
198,2011/01/31,94612
199,2011/02/01,75925
200,2011/02/02,81155
201,2011/02/03,46402
202,2011/02/04,40680
203,2011/02/05,61231
204,2011/02/06,70806
205,2011/02/07,138493
206,2011/02/08,60278
207,2011/02/09,127046
208,2011/02/10,223847
209,2011/02/11,258210
210,2011/02/12,137630
211,2011/02/13,109491
212,2011/02/14,137335
213,2011/02/15,96622
214,2011/02/16,64001
215,2011/02/17,97562
216,2011/02/18,114283
217,2011/02/19,158511
218,2011/02/20,194114
219,2011/02/21,190976
220,2011/02/22,292795
221,2011/02/23,325389
222,2011/02/24,212193
223,2011/02/25,165204
224,2011/02/26,153969
225,2011/02/27,175314
226,2011/02/28,109217
227,2011/03/01,919769
228,2011/03/02,2265528
229,2011/03/03,211749
230,2011/03/04,273455
231,2011/03/05,116681
232,2011/03/06,165007
233,2011/03/07,181800
234,2011/03/08,163375
235,2011/03/09,209804
236,2011/03/10,304305
237,2011/03/11,219173
238,2011/03/12,140695
239,2011/03/13,183879
240,2011/03/14,185576
241,2011/03/15,107222
242,2011/03/16,132456
243,2011/03/17,134071
244,2011/03/18,142237
245,2011/03/19,91819
246,2011/03/20,104606
247,2011/03/21,115119
248,2011/03/22,160483
249,2011/03/23,211199
250,2011/03/24,213880
251,2011/03/25,249635
252,2011/03/26,277246
253,2011/03/27,119690
254,2011/03/28,109686
255,2011/03/29,87604
256,2011/03/30,96650
257,2011/03/31,107958
258,2011/04/01,60845
259,2011/04/02,73967
260,2011/04/03,63536
261,2011/04/04,104892
262,2011/04/05,83935
263,2011/04/06,63981
264,2011/04/07,81872
265,2011/04/08,96196
266,2011/04/09,104780
267,2011/04/10,63063
268,2011/04/11,65498
269,2011/04/12,113342
270,2011/04/13,158631
271,2011/04/14,141175
272,2011/04/15,100575
273,2011/04/16,349566
274,2011/04/17,1404478
275,2011/04/18,147681
276,2011/04/19,3096393
277,2011/04/20,5511393
278,2011/04/21,507671
279,2011/04/22,206569
280,2011/04/23,256685
281,2011/04/24,174348
282,2011/04/25,156192
283,2011/04/26,300595
284,2011/04/27,455630
285,2011/04/28,304308
286,2011/04/29,1976853
287,2011/04/30,1298301
288,2011/05/01,530325
289,2011/05/02,376434
290,2011/05/03,621155
291,2011/05/04,962793
292,2011/05/05,534654
293,2011/05/06,952559
294,2011/05/07,784696
295,2011/05/08,1989059
296,2011/05/09,585426
297,2011/05/10,2730372
298,2011/05/11,995617
299,2011/05/12,1225377
300,2011/05/13,3286674
301,2011/05/14,13687679
302,2011/05/15,2179648
303,2011/05/16,2089299
304,2011/05/17,1629432
305,2011/05/18,1273158
306,2011/05/19,1226642
307,2011/05/20,2140533
308,2011/05/21,3897338
309,2011/05/22,5636666
310,2011/05/23,3170760
311,2011/05/24,2581594
312,2011/05/25,3032888
313,2011/05/26,3519584
314,2011/05/27,4611091
315,2011/05/28,1894868
316,2011/05/29,2220955
317,2011/05/30,2320827
318,2011/05/31,2456335
319,2011/06/01,2485389
320,2011/06/02,3573257
321,2011/06/03,7606073
322,2011/06/04,7856759
323,2011/06/05,9802976
324,2011/06/06,14582962
325,2011/06/07,11088182
326,2011/06/08,21106959
327,2011/06/09,22686025
328,2011/06/10,24356989
329,2011/06/11,28461702
330,2011/06/12,30440116
331,2011/06/13,24329906
332,2011/06/14,30024861
333,2011/06/15,81973705
334,2011/06/16,159897584
335,2011/06/17,25606123
336,2011/06/18,20654363
337,2011/06/19,78386963
338,2011/06/20,22644163
339,2011/06/21,56286455
340,2011/06/22,22473561
341,2011/06/23,27588175
342,2011/06/24,81172031
343,2011/06/25,182205123
344,2011/06/26,68668797
345,2011/06/27,31018432
346,2011/06/28,115650077
347,2011/06/29,46924104
348,2011/06/30,24648716
349,2011/07/01,17442013
350,2011/07/02,13330717
351,2011/07/03,8793612
352,2011/07/04,19848591
353,2011/07/05,5458945
354,2011/07/06,7879577
355,2011/07/07,6862606
356,2011/07/08,4432329
357,2011/07/09,29780706
358,2011/07/10,35487994
359,2011/07/11,14625559
360,2011/07/12,15047292
361,2011/07/13,19932714
362,2011/07/14,26909194
363,2011/07/15,8297471
364,2011/07/16,17178513
365,2011/07/17,7559185
366,2011/07/18,43976356
367,2011/07/19,37353476
368,2011/07/20,7487645
369,2011/07/21,18211020
370,2011/07/22,21165745
371,2011/07/23,8267080
372,2011/07/24,7489517
373,2011/07/25,20082993
374,2011/07/26,16462219
375,2011/07/27,17637121
376,2011/07/28,46440551
377,2011/07/29,9304091
378,2011/07/30,4386299
379,2011/07/31,7988442
380,2011/08/01,7150872
381,2011/08/02,4998122
382,2011/08/03,4345134
383,2011/08/04,3191305
384,2011/08/05,5064571
385,2011/08/06,3089585
386,2011/08/07,2629657
387,2011/08/08,8134058
388,2011/08/09,22061916
389,2011/08/10,11373186
390,2011/08/11,4725932
391,2011/08/12,3202570
392,2011/08/13,2979415
393,2011/08/14,4692170
394,2011/08/15,3634187
395,2011/08/16,3949369
396,2011/08/17,3526347
397,2011/08/18,4358120
398,2011/08/19,6243081
399,2011/08/20,2584421
400,2011/08/21,2753483
401,2011/08/22,3033469
402,2011/08/23,4802718
403,2011/08/24,6096369
404,2011/08/25,3830587
405,2011/08/26,2475545
406,2011/08/27,22684889
407,2011/08/28,1618963
408,2011/08/29,2139067
409,2011/08/30,2100357
410,2011/08/31,2241896
411,2011/09/01,2697075
412,2011/09/02,2137717
413,2011/09/03,1915556
414,2011/09/04,14465534
415,2011/09/05,17811450
416,2011/09/06,22781634
417,2011/09/07,4419019
418,2011/09/08,2665630
419,2011/09/09,2313868
420,2011/09/10,1297421
421,2011/09/11,5391238
422,2011/09/12,3728733
423,2011/09/13,2077970
424,2011/09/14,1684541
425,2011/09/15,1521029
426,2011/09/16,3226105
427,2011/09/17,1661583
428,2011/09/18,1444537
429,2011/09/19,1743301
430,2011/09/20,2002786
431,2011/09/21,2278871
432,2011/09/22,1677465
433,2011/09/23,1853645
434,2011/09/24,1239196
435,2011/09/25,1551787
436,2011/09/26,1417325
437,2011/09/27,2068189
438,2011/09/28,1694864
439,2011/09/29,1562958
440,2011/09/30,1414078
441,2011/10/01,2099045
442,2011/10/02,1588012
443,2011/10/03,2015306
444,2011/10/04,2063034
445,2011/10/05,1964466
446,2011/10/06,2528014
447,2011/10/07,1689556
448,2011/10/08,1148758
449,2011/10/09,1202993
450,2011/10/10,1270523
451,2011/10/11,1308322
452,2011/10/12,1271263
453,2011/10/13,1223702
454,2011/10/14,1082234
455,2011/10/15,1466778
456,2011/10/16,942660
457,2011/10/17,1465021
458,2011/10/18,833736
459,2011/10/19,703746
460,2011/10/20,670394
461,2011/10/21,1378111
462,2011/10/22,1612804
463,2011/10/23,1762098
464,2011/10/24,1027870
465,2011/10/25,988007
466,2011/10/26,1168805
467,2011/10/27,1461227
468,2011/10/28,1393143
469,2011/10/29,1460918
470,2011/10/30,704361
471,2011/10/31,1240930
472,2011/11/01,1694623
473,2011/11/02,1276542
474,2011/11/03,1110698
475,2011/11/04,1225916
476,2011/11/05,856722
477,2011/11/06,651607
478,2011/11/07,776372
479,2011/11/08,3357726
480,2011/11/09,2924290
481,2011/11/10,1031235
482,2011/11/11,885763
483,2011/11/12,791476
484,2011/11/13,731488
485,2011/11/14,912238
486,2011/11/15,798291
487,2011/11/16,4948505
488,2011/11/17,7886836
489,2011/11/18,10930167
490,2011/11/19,8579212
491,2011/11/20,3279969
492,2011/11/21,3696209
493,2011/11/22,8179625
494,2011/11/23,3550536
495,2011/11/24,3513537
496,2011/11/25,2573232
497,2011/11/26,3833811
498,2011/11/27,4326555
499,2011/11/28,9995699
500,2011/11/29,10356925
501,2011/11/30,18628125
502,2011/12/01,6285358
503,2011/12/02,16801735
504,2011/12/03,10182367
505,2011/12/04,8152955
506,2011/12/05,8320774
507,2011/12/06,20233734
508,2011/12/07,16725021
509,2011/12/08,13535627
510,2011/12/09,5811761
511,2011/12/10,3220391
512,2011/12/11,2584448
513,2011/12/12,2209682
514,2011/12/13,987103
515,2011/12/14,961137
516,2011/12/15,1273384
517,2011/12/16,1390447
518,2011/12/17,977520
519,2011/12/18,858448
520,2011/12/19,1413728
521,2011/12/20,1767935
522,2011/12/21,2065947
523,2011/12/22,1507131
524,2011/12/23,881943
525,2011/12/24,1038443
526,2011/12/25,1004548
527,2011/12/26,2634707
528,2011/12/27,2498285
529,2011/12/28,920166
530,2011/12/29,1913391
531,2011/12/30,982912
532,2011/12/31,952006
533,2012/01/01,1453852
534,2012/01/02,1126956
535,2012/01/03,1075720
536,2012/01/04,1843718
537,2012/01/05,3946631
538,2012/01/06,3333381
539,2012/01/07,1522076
540,2012/01/08,1934704
541,2012/01/09,2378471
542,2012/01/10,1975895
543,2012/01/11,2088020
544,2012/01/12,1883094
545,2012/01/13,2210023
546,2012/01/14,1835826
547,2012/01/15,1514197
548,2012/01/16,2444233
549,2012/01/17,2164108
550,2012/01/18,1753383
551,2012/01/19,1943856
552,2012/01/20,1811131
553,2012/01/21,1303668
554,2012/01/22,1142725
