,Date,Decred - Tweets
0,2009/01/03,204
1,2009/01/04,null
2,2009/01/05,null
3,2009/01/06,null
4,2009/01/07,null
5,2009/01/08,null
6,2009/01/09,134
7,2009/01/10,134.23
8,2009/01/11,134.409
9,2009/01/12,153.372
10,2009/01/13,134.667
11,2009/01/14,138.194
12,2009/01/15,157.579
13,2009/01/16,139.87
14,2009/01/17,134.853
15,2009/01/18,138.944
16,2009/01/19,151.896
17,2009/01/20,143.728
18,2009/01/21,137.99
19,2009/01/22,147.747
20,2009/01/23,148.238
21,2009/01/24,141.06
22,2009/01/25,136
23,2009/01/26,158.948
24,2009/01/27,139.309
25,2009/01/28,134.652
26,2009/01/29,146.256
27,2009/01/30,134.872
28,2009/01/31,151.464
29,2009/02/01,137.204
30,2009/02/02,136.094
31,2009/02/03,167.496
32,2009/02/04,134.739
33,2009/02/05,134.722
34,2009/02/06,134.836
35,2009/02/07,159.31
36,2009/02/08,136.576
37,2009/02/09,172.604
38,2009/02/10,134.667
39,2009/02/11,148.128
40,2009/02/12,134.874
41,2009/02/13,134.903
42,2009/02/14,134.787
43,2009/02/15,148.383
44,2009/02/16,163.172
45,2009/02/17,134.897
46,2009/02/18,134.941
47,2009/02/19,150.048
48,2009/02/20,134.852
49,2009/02/21,134.965
50,2009/02/22,147.545
51,2009/02/23,134.991
52,2009/02/24,134.934
53,2009/02/25,134.867
54,2009/02/26,134.963
55,2009/02/27,170.8
56,2009/02/28,143.525
57,2009/03/01,134.952
58,2009/03/02,134.963
59,2009/03/03,144.429
60,2009/03/04,163.712
61,2009/03/05,143.411
62,2009/03/06,134.923
63,2009/03/07,134.972
64,2009/03/08,162.591
65,2009/03/09,134.713
66,2009/03/10,134.972
67,2009/03/11,134.886
68,2009/03/12,138.534
69,2009/03/13,148.389
70,2009/03/14,134.791
71,2009/03/15,134.967
72,2009/03/16,180.512
73,2009/03/17,134.965
74,2009/03/18,149.711
75,2009/03/19,134.787
76,2009/03/20,146.856
77,2009/03/21,134.88
78,2009/03/22,146.126
79,2009/03/23,134.923
80,2009/03/24,134.981
81,2009/03/25,134.786
82,2009/03/26,162.607
83,2009/03/27,134.953
84,2009/03/28,155.235
85,2009/03/29,134.966
86,2009/03/30,134.85
87,2009/03/31,168.518
88,2009/04/01,134.86
89,2009/04/02,134.887
90,2009/04/03,134.948
91,2009/04/04,134.743
92,2009/04/05,150.554
93,2009/04/06,134.982
94,2009/04/07,134.99
