,Date,Decred - Tweets
0,2009/01/09,102.857
1,2009/01/10,23.607
2,2009/01/11,15.484
3,2009/01/12,15.319
4,2009/01/13,11.707
5,2009/01/14,11.163
6,2009/01/15,11.429
7,2009/01/16,13.333
8,2009/01/17,13.211
9,2009/01/18,13.458
10,2009/01/19,12.522
11,2009/01/20,12.632
12,2009/01/21,14.118
13,2009/01/22,15.824
14,2009/01/23,17.143
15,2009/01/24,7.164
16,2009/01/25,7.539
17,2009/01/26,15
18,2009/01/27,14.845
19,2009/01/28,12.857
20,2009/01/29,11.901
21,2009/01/30,12.308
22,2009/01/31,10.435
23,2009/02/01,12.743
24,2009/02/02,11.25
25,2009/02/03,10.36
26,2009/02/04,12.101
27,2009/02/05,11.429
28,2009/02/06,11.803
29,2009/02/07,11.163
30,2009/02/08,10.909
31,2009/02/09,10.746
32,2009/02/10,12
33,2009/02/11,10.827
34,2009/02/12,12.101
35,2009/02/13,11.613
36,2009/02/14,10.588
37,2009/02/15,11.25
38,2009/02/16,11.803
39,2009/02/17,12.308
40,2009/02/18,12.203
41,2009/02/19,11.613
42,2009/02/20,11.803
43,2009/02/21,12.632
44,2009/02/22,11.901
45,2009/02/23,13.333
46,2009/02/24,13.585
47,2009/02/25,13.714
48,2009/02/26,13.458
49,2009/02/27,12.522
50,2009/02/28,14.545
51,2009/03/01,13.714
52,2009/03/02,13.333
53,2009/03/03,13.714
54,2009/03/04,13.846
55,2009/03/05,12.857
56,2009/03/06,12.308
57,2009/03/07,13.211
58,2009/03/08,12.522
59,2009/03/09,13.333
60,2009/03/10,13.458
61,2009/03/11,12.632
62,2009/03/12,12.203
63,2009/03/13,12.743
64,2009/03/14,13.091
65,2009/03/15,11.707
66,2009/03/16,11.901
67,2009/03/17,12.632
68,2009/03/18,12.632
69,2009/03/19,11.803
70,2009/03/20,12.203
71,2009/03/21,28.8
72,2009/03/22,12.101
73,2009/03/23,11.077
74,2009/03/24,13.714
75,2009/03/25,12.308
76,2009/03/26,12.308
77,2009/03/27,13.585
78,2009/03/28,12.101
79,2009/03/29,12.414
80,2009/03/30,12
81,2009/03/31,13.091
82,2009/04/01,12.632
83,2009/04/02,12.522
84,2009/04/03,12.414
85,2009/04/04,12.743
86,2009/04/05,11.077
87,2009/04/06,13.211
88,2009/04/07,14.4
89,2009/04/08,13.714
90,2009/04/09,14.545
91,2009/04/10,13.333
92,2009/04/11,12
93,2009/04/12,12.203
94,2009/04/13,12.522
95,2009/04/14,11.613
96,2009/04/15,12.743
97,2009/04/16,11.707
98,2009/04/17,12.857
99,2009/04/18,11.429
100,2009/04/19,12.101
101,2009/04/20,12.101
102,2009/04/21,11.707
103,2009/04/22,11.901
104,2009/04/23,19.2
105,2009/04/24,12.522
106,2009/04/25,12.203
107,2009/04/26,12.857
108,2009/04/27,13.846
109,2009/04/28,12.308
110,2009/04/29,11.25
111,2009/04/30,10.992
112,2009/05/01,11.901
113,2009/05/02,11.429
114,2009/05/03,13.585
115,2009/05/04,11.25
116,2009/05/05,10.667
117,2009/05/06,10.667
118,2009/05/07,11.803
119,2009/05/08,13.458
120,2009/05/09,18.462
121,2009/05/10,16.941
122,2009/05/11,12
123,2009/05/12,11.077
124,2009/05/13,12.973
125,2009/05/14,10.36
126,2009/05/15,10.588
127,2009/05/16,12.101
128,2009/05/17,11.339
129,2009/05/18,12.203
130,2009/05/19,16.744
131,2009/05/20,12
