,Date,Decred - Tweets
0,2010/07/17,0.001
1,2010/07/18,0.0163
2,2010/07/19,0.00154
3,2010/07/20,null
4,2010/07/21,null
5,2010/07/22,null
6,2010/07/23,0.000195
7,2010/07/24,null
8,2010/07/25,0.0287
9,2010/07/26,0.0259
10,2010/07/27,0.0132
11,2010/07/28,0.0144
12,2010/07/29,0.0109
13,2010/07/30,0.00724
14,2010/07/31,0.00948
15,2010/08/01,0.00755
16,2010/08/02,0.00443
17,2010/08/03,null
18,2010/08/04,null
19,2010/08/05,null
20,2010/08/06,null
21,2010/08/07,0.0689
22,2010/08/08,null
23,2010/08/09,0.0823
24,2010/08/10,null
25,2010/08/11,null
26,2010/08/12,null
27,2010/08/13,null
28,2010/08/14,null
29,2010/08/15,null
30,2010/08/16,0.0135
31,2010/08/17,null
32,2010/08/18,0.0362
33,2010/08/19,null
34,2010/08/20,null
35,2010/08/21,null
36,2010/08/22,null
37,2010/08/23,null
38,2010/08/24,0.0172
39,2010/08/25,null
40,2010/08/26,null
41,2010/08/27,null
42,2010/08/28,2.6E-8
43,2010/08/29,0.00753
44,2010/08/30,0.00883
45,2010/08/31,0.00373
46,2010/09/01,0.00174
47,2010/09/02,null
48,2010/09/03,null
49,2010/09/04,null
50,2010/09/05,0.000258
51,2010/09/06,2.93E-9
52,2010/09/07,null
53,2010/09/08,4.72E-9
54,2010/09/09,0.00279
55,2010/09/10,2.22E-9
56,2010/09/11,null
57,2010/09/12,0.00318
58,2010/09/13,1.92E-9
59,2010/09/14,0.000182
60,2010/09/15,null
61,2010/09/16,null
62,2010/09/17,null
63,2010/09/18,0.00374
64,2010/09/19,null
65,2010/09/20,null
66,2010/09/21,1.48E-9
67,2010/09/22,null
68,2010/09/23,null
69,2010/09/24,null
70,2010/09/25,null
71,2010/09/26,null
72,2010/09/27,0.000282
73,2010/09/28,0.0239
74,2010/09/29,null
75,2010/09/30,null
76,2010/10/01,0.00988
77,2010/10/02,0.000194
78,2010/10/03,0.000188
79,2010/10/04,2.07E-8
80,2010/10/05,null
81,2010/10/06,2.2E-8
82,2010/10/07,null
83,2010/10/08,null
84,2010/10/09,null
85,2010/10/10,null
86,2010/10/11,2.56E-8
87,2010/10/12,null
88,2010/10/13,0.0077
89,2010/10/14,null
90,2010/10/15,null
91,2010/10/16,null
92,2010/10/17,null
93,2010/10/18,0.000282
94,2010/10/19,null
95,2010/10/20,null
96,2010/10/21,0.000126
97,2010/10/22,null
98,2010/10/23,0.000864
99,2010/10/24,null
100,2010/10/25,null
101,2010/10/26,null
102,2010/10/27,null
103,2010/10/28,null
104,2010/10/29,null
105,2010/10/30,null
106,2010/10/31,null
107,2010/11/01,null
108,2010/11/02,null
109,2010/11/03,null
110,2010/11/04,null
111,2010/11/05,null
112,2010/11/06,null
113,2010/11/07,null
114,2010/11/08,0.013
115,2010/11/09,null
116,2010/11/10,null
117,2010/11/11,null
118,2010/11/12,null
119,2010/11/13,null
120,2010/11/14,null
121,2010/11/15,0.00501
122,2010/11/16,null
123,2010/11/17,null
124,2010/11/18,null
125,2010/11/19,0.00108
126,2010/11/20,0.0174
127,2010/11/21,0.0151
128,2010/11/22,0.0131
129,2010/11/23,0.0116
130,2010/11/24,0.00225
131,2010/11/25,null
132,2010/11/26,0.00447
133,2010/11/27,0.000373
134,2010/11/28,null
135,2010/11/29,0.000532
136,2010/11/30,0.000178
137,2010/12/01,0.000672
138,2010/12/02,0.00108
139,2010/12/03,0.000208
140,2010/12/04,0.000211
141,2010/12/05,0.000559
142,2010/12/06,0.000778
143,2010/12/07,0.00118
144,2010/12/08,0.000617
145,2010/12/09,0.000618
146,2010/12/10,0.00157
147,2010/12/11,0.00197
148,2010/12/12,0.00237
149,2010/12/13,0.00565
150,2010/12/14,0.000775
151,2010/12/15,0.00099
152,2010/12/16,0.00178
153,2010/12/17,0.00441
154,2010/12/18,0.00122
155,2010/12/19,0.00189
156,2010/12/20,0.00102
157,2010/12/21,0.00164
158,2010/12/22,0.00295
159,2010/12/23,0.00115
160,2010/12/24,0.00147
161,2010/12/25,0.00109
162,2010/12/26,0.00175
163,2010/12/27,0.00135
164,2010/12/28,0.00164
165,2010/12/29,0.00243
166,2010/12/30,0.00153
167,2010/12/31,0.000407
168,2011/01/01,0.00136
169,2011/01/02,0.00145
170,2011/01/03,0.0108
171,2011/01/04,0.000519
172,2011/01/05,0.00137
173,2011/01/06,0.00148
174,2011/01/07,0.000778
175,2011/01/08,0.000236
176,2011/01/09,0.00198
177,2011/01/10,0.00097
178,2011/01/11,0.000553
179,2011/01/12,0.00406
180,2011/01/13,0.000312
181,2011/01/14,0.000838
182,2011/01/15,0.0016
183,2011/01/16,0.00122
184,2011/01/17,0.00223
185,2011/01/18,0.000646
186,2011/01/19,0.000725
187,2011/01/20,0.00158
188,2011/01/21,0.000682
189,2011/01/22,0.00643
190,2011/01/23,0.00501
