,Date,Decred - Tweets
0,2009/01/03,null
1,2009/01/04,null
2,2009/01/05,null
3,2009/01/06,null
4,2009/01/07,null
5,2009/01/08,null
6,2009/01/09,12576322
7,2009/01/10,9378233
8,2009/01/11,4857511
9,2009/01/12,4567766
10,2009/01/13,5654593
11,2009/01/14,6206668
12,2009/01/15,6365454
13,2009/01/16,6070043
14,2009/01/17,5240736
15,2009/01/18,5190081
16,2009/01/19,5762472
17,2009/01/20,5793593
18,2009/01/21,5559411
19,2009/01/22,4120719
20,2009/01/23,3518417
21,2009/01/24,8393223
22,2009/01/25,9962644
23,2009/01/26,7689965
24,2009/01/27,4617016
25,2009/01/28,4962996
26,2009/01/29,5795924
27,2009/01/30,6240808
28,2009/01/31,6051994
29,2009/02/01,6190608
30,2009/02/02,6153545
31,2009/02/03,6704449
32,2009/02/04,6346531
33,2009/02/05,6048969
34,2009/02/06,6295545
35,2009/02/07,6330966
36,2009/02/08,6434968
37,2009/02/09,6421922
38,2009/02/10,6511267
39,2009/02/11,6460281
40,2009/02/12,6046361
41,2009/02/13,6055061
42,2009/02/14,6655610
43,2009/02/15,6358856
44,2009/02/16,6230951
45,2009/02/17,5876537
46,2009/02/18,5957088
47,2009/02/19,5943972
48,2009/02/20,6302263
49,2009/02/21,5624662
50,2009/02/22,6022206
51,2009/02/23,5531524
52,2009/02/24,5457302
53,2009/02/25,5346698
54,2009/02/26,5036662
55,2009/02/27,5729494
56,2009/02/28,5316849
57,2009/03/01,5054096
58,2009/03/02,5331702
59,2009/03/03,5226712
60,2009/03/04,5294369
61,2009/03/05,5166785
62,2009/03/06,5859262
63,2009/03/07,5644853
64,2009/03/08,5561590
65,2009/03/09,5735349
66,2009/03/10,5209928
67,2009/03/11,5454076
68,2009/03/12,5725069
69,2009/03/13,5657424
70,2009/03/14,5678662
71,2009/03/15,5783981
72,2009/03/16,6164511
73,2009/03/17,5863375
74,2009/03/18,5612209
75,2009/03/19,5959575
76,2009/03/20,6034212
77,2009/03/21,5293010
78,2009/03/22,3769984
79,2009/03/23,6360511
80,2009/03/24,5685246
81,2009/03/25,5682962
82,2009/03/26,5763023
83,2009/03/27,5567742
84,2009/03/28,5605066
85,2009/03/29,5563060
86,2009/03/30,6174270
87,2009/03/31,5736621
88,2009/04/01,5430648
89,2009/04/02,5955989
90,2009/04/03,5594588
91,2009/04/04,5601954
92,2009/04/05,6248209
93,2009/04/06,6073474
94,2009/04/07,5094113
95,2009/04/08,5105377
96,2009/04/09,4926977
97,2009/04/10,5064620
98,2009/04/11,5914151
99,2009/04/12,5859512
100,2009/04/13,5825783
101,2009/04/14,6041215
102,2009/04/15,5699780
103,2009/04/16,6045975
104,2009/04/17,5826039
105,2009/04/18,5872722
106,2009/04/19,6050241
107,2009/04/20,5962870
108,2009/04/21,5974516
109,2009/04/22,6015670
110,2009/04/23,4910702
111,2009/04/24,4815481
112,2009/04/25,5862788
113,2009/04/26,5785290
114,2009/04/27,5197535
115,2009/04/28,5639535
116,2009/04/29,5983533
117,2009/04/30,6626342
118,2009/05/01,6087167
119,2009/05/02,6370022
120,2009/05/03,5432058
121,2009/05/04,6028806
122,2009/05/05,6654245
123,2009/05/06,6617035
124,2009/05/07,6311697
125,2009/05/08,6101575
126,2009/05/09,5123304
127,2009/05/10,3007562
128,2009/05/11,5686382
129,2009/05/12,6285390
130,2009/05/13,6180537
131,2009/05/14,6001457
132,2009/05/15,7216902
133,2009/05/16,6322797
134,2009/05/17,5868562
135,2009/05/18,6179089
136,2009/05/19,5807669
137,2009/05/20,4829928
138,2009/05/21,5335009
139,2009/05/22,4176721
140,2009/05/23,3998008
141,2009/05/24,4893764
142,2009/05/25,4962520
143,2009/05/26,5803695
144,2009/05/27,6272577
145,2009/05/28,5227786
146,2009/05/29,5089465
147,2009/05/30,5180067
148,2009/05/31,5770689
149,2009/06/01,4474182
150,2009/06/02,4157996
151,2009/06/03,5303689
152,2009/06/04,2868665
153,2009/06/05,3756786
154,2009/06/06,2174057
155,2009/06/07,1148146
156,2009/06/08,3988561
157,2009/06/09,4399757
158,2009/06/10,4194460
159,2009/06/11,4529425
160,2009/06/12,4506162
161,2009/06/13,3794747
162,2009/06/14,3784170
163,2009/06/15,3798045
164,2009/06/16,4028873
165,2009/06/17,3571380
166,2009/06/18,4148214
167,2009/06/19,4169764
168,2009/06/20,4136737
169,2009/06/21,3844934
170,2009/06/22,3998957
171,2009/06/23,3927254
172,2009/06/24,3886099
173,2009/06/25,4296673
174,2009/06/26,3970072
175,2009/06/27,4238026
176,2009/06/28,3318925
177,2009/06/29,3177062
178,2009/06/30,4187787
179,2009/07/01,4350650
180,2009/07/02,3695130
181,2009/07/03,4075098
182,2009/07/04,4336577
183,2009/07/05,4141006
184,2009/07/06,4168048
185,2009/07/07,3617010
186,2009/07/08,3766780
187,2009/07/09,3830518
188,2009/07/10,4250737
189,2009/07/11,4097964
190,2009/07/12,3799849
191,2009/07/13,3947225
192,2009/07/14,3633524
193,2009/07/15,2544577
194,2009/07/16,3272008
195,2009/07/17,3478033
196,2009/07/18,1055267
197,2009/07/19,2192714
198,2009/07/20,3786172
199,2009/07/21,3801665
200,2009/07/22,3615925
201,2009/07/23,3215262
202,2009/07/24,3887818
203,2009/07/25,3567963
204,2009/07/26,929081
205,2009/07/27,2682140
206,2009/07/28,3057924
207,2009/07/29,1470810
208,2009/07/30,809305
209,2009/07/31,763174
210,2009/08/01,1146511
211,2009/08/02,1423977
212,2009/08/03,951137
213,2009/08/04,2438424
214,2009/08/05,4513934
215,2009/08/06,4568279
216,2009/08/07,3940965
217,2009/08/08,4116411
218,2009/08/09,4501425
219,2009/08/10,4467046
220,2009/08/11,3477047
221,2009/08/12,3494408
222,2009/08/13,3696232
223,2009/08/14,3549748
224,2009/08/15,2217933
225,2009/08/16,1134383
226,2009/08/17,992942
227,2009/08/18,705368
228,2009/08/19,675046
229,2009/08/20,1208754
230,2009/08/21,971405
231,2009/08/22,462433
232,2009/08/23,567412
233,2009/08/24,545988
234,2009/08/25,2103352
235,2009/08/26,2125731
236,2009/08/27,1902934
237,2009/08/28,2726337
238,2009/08/29,3885231
239,2009/08/30,4239305
240,2009/08/31,4839429
241,2009/09/01,4173932
242,2009/09/02,3435210
243,2009/09/03,3160879
244,2009/09/04,3015799
245,2009/09/05,3540956
246,2009/09/06,3604924
247,2009/09/07,3721790
248,2009/09/08,3573034
249,2009/09/09,3102374
250,2009/09/10,2978768
251,2009/09/11,3333553
252,2009/09/12,3395015
253,2009/09/13,3562832
254,2009/09/14,3859450
255,2009/09/15,3538940
256,2009/09/16,2502039
257,2009/09/17,4009255
258,2009/09/18,4207919
259,2009/09/19,3681283
260,2009/09/20,3711593
261,2009/09/21,3973929
262,2009/09/22,2665704
263,2009/09/23,1226582
264,2009/09/24,3656201
265,2009/09/25,4718859
266,2009/09/26,4550457
267,2009/09/27,4808919
268,2009/09/28,4387916
269,2009/09/29,4073522
270,2009/09/30,4304243
271,2009/10/01,4257395
272,2009/10/02,4110218
273,2009/10/03,2842803
274,2009/10/04,3157416
275,2009/10/05,2609867
276,2009/10/06,2429051
277,2009/10/07,2475279
278,2009/10/08,3295744
279,2009/10/09,3793787
280,2009/10/10,3974391
281,2009/10/11,3960023
282,2009/10/12,3226020
283,2009/10/13,2760494
284,2009/10/14,2866369
285,2009/10/15,3827748
286,2009/10/16,3533167
287,2009/10/17,2710905
288,2009/10/18,3163346
289,2009/10/19,4747011
290,2009/10/20,5578122
291,2009/10/21,4206917
292,2009/10/22,4165823
293,2009/10/23,4452644
294,2009/10/24,3933237
295,2009/10/25,3550110
296,2009/10/26,3561459
297,2009/10/27,3159776
298,2009/10/28,3337791
299,2009/10/29,2741421
300,2009/10/30,2830245
301,2009/10/31,2617999
302,2009/11/01,1832456
303,2009/11/02,1411760
304,2009/11/03,2299350
305,2009/11/04,3280681
306,2009/11/05,3223995
307,2009/11/06,2611235
308,2009/11/07,3531482
309,2009/11/08,3394914
310,2009/11/09,3499460
311,2009/11/10,3336459
312,2009/11/11,3707146
313,2009/11/12,3337736
314,2009/11/13,3436509
315,2009/11/14,4199720
316,2009/11/15,4488081
317,2009/11/16,5071382
318,2009/11/17,4537991
319,2009/11/18,4178086
320,2009/11/19,3783460
321,2009/11/20,3851970
322,2009/11/21,4047220
323,2009/11/22,4550756
324,2009/11/23,5010945
325,2009/11/24,4837433
326,2009/11/25,4486798
327,2009/11/26,4163158
328,2009/11/27,3746860
329,2009/11/28,3933589
330,2009/11/29,3071712
331,2009/11/30,3441932
332,2009/12/01,3388144
333,2009/12/02,4523918
334,2009/12/03,4260899
335,2009/12/04,2962741
336,2009/12/05,2547394
337,2009/12/06,4391602
338,2009/12/07,5119201
339,2009/12/08,5721311
340,2009/12/09,4825621
341,2009/12/10,4947115
342,2009/12/11,5997198
343,2009/12/12,5199187
344,2009/12/13,5321923
345,2009/12/14,5338273
346,2009/12/15,5639690
347,2009/12/16,5765103
348,2009/12/17,7660882
349,2009/12/18,9692674
350,2009/12/19,11145141
351,2009/12/20,9256307
352,2009/12/21,9075121
353,2009/12/22,7966995
354,2009/12/23,8324084
355,2009/12/24,7489464
356,2009/12/25,7854512
357,2009/12/26,7539913
358,2009/12/27,8386339
359,2009/12/28,7668832
360,2009/12/29,7672852
361,2009/12/30,9182821
362,2009/12/31,8230238
363,2010/01/01,7607389
364,2010/01/02,7355058
365,2010/01/03,9210607
366,2010/01/04,11578640
367,2010/01/05,11282671
368,2010/01/06,10286750
369,2010/01/07,9156298
370,2010/01/08,9174612
371,2010/01/09,9107774
372,2010/01/10,9984760
373,2010/01/11,10069010
374,2010/01/12,10617370
375,2010/01/13,10669452
376,2010/01/14,9787278
377,2010/01/15,9236990
378,2010/01/16,9222895
379,2010/01/17,7978417
380,2010/01/18,8516108
381,2010/01/19,7814949
382,2010/01/20,8733861
383,2010/01/21,11422323
384,2010/01/22,10434567
385,2010/01/23,9344451
386,2010/01/24,9750208
387,2010/01/25,12414206
388,2010/01/26,13748236
389,2010/01/27,12239629
390,2010/01/28,11160855
391,2010/01/29,12887660
392,2010/01/30,12848435
393,2010/01/31,13788087
394,2010/02/01,11466945
395,2010/02/02,10114947
396,2010/02/03,14390639
397,2010/02/04,16888349
398,2010/02/05,21293454
399,2010/02/06,18641359
400,2010/02/07,17922898
401,2010/02/08,20113791
402,2010/02/09,18693803
403,2010/02/10,16160781
404,2010/02/11,15374902
405,2010/02/12,16222899
406,2010/02/13,19260651
407,2010/02/14,19610265
408,2010/02/15,23985420
409,2010/02/16,22735612
410,2010/02/17,27481565
411,2010/02/18,29208162
412,2010/02/19,24154688
413,2010/02/20,26309564
414,2010/02/21,27796313
415,2010/02/22,29654098
416,2010/02/23,31141261
417,2010/02/24,35795893
418,2010/02/25,29432400
419,2010/02/26,31609796
420,2010/02/27,31538213
421,2010/02/28,31925872
422,2010/03/01,33059069
423,2010/03/02,36597052
424,2010/03/03,30999412
425,2010/03/04,31719509
426,2010/03/05,34307197
427,2010/03/06,32923193
428,2010/03/07,31780015
429,2010/03/08,35074306
430,2010/03/09,32409543
431,2010/03/10,32268232
432,2010/03/11,33429368
433,2010/03/12,29198162
434,2010/03/13,32338463
435,2010/03/14,29856226
436,2010/03/15,29043840
437,2010/03/16,29620959
438,2010/03/17,28700939
439,2010/03/18,33675843
440,2010/03/19,30581642
441,2010/03/20,40246623
442,2010/03/21,42223312
443,2010/03/22,40167787
444,2010/03/23,45020439
445,2010/03/24,42046917
446,2010/03/25,41556014
447,2010/03/26,42758355
448,2010/03/27,42325761
449,2010/03/28,43033154
450,2010/03/29,42333327
451,2010/03/30,47058320
452,2010/03/31,49055384
453,2010/04/01,50237407
454,2010/04/02,45948950
455,2010/04/03,51607399
456,2010/04/04,48446248
457,2010/04/05,51534590
458,2010/04/06,45273897
459,2010/04/07,53851985
460,2010/04/08,59916612
461,2010/04/09,53796358
462,2010/04/10,69067387
463,2010/04/11,72133611
464,2010/04/12,79212047
465,2010/04/13,71459738
466,2010/04/14,72742816
467,2010/04/15,78331333
468,2010/04/16,80103678
469,2010/04/17,82656039
470,2010/04/18,95710285
471,2010/04/19,86680173
472,2010/04/20,84673112
473,2010/04/21,86934606
474,2010/04/22,109743556
475,2010/04/23,84163592
476,2010/04/24,87297055
477,2010/04/25,96189064
478,2010/04/26,95260823
479,2010/04/27,95915962
480,2010/04/28,103762008
481,2010/04/29,93007363
482,2010/04/30,84896975
483,2010/05/01,91706766
484,2010/05/02,98889809
485,2010/05/03,94283382
486,2010/05/04,83573907
487,2010/05/05,89976999
488,2010/05/06,90254547
489,2010/05/07,91622750
490,2010/05/08,89408747
491,2010/05/09,95502329
492,2010/05/10,91061237
493,2010/05/11,75891637
494,2010/05/12,76866908
495,2010/05/13,79126383
496,2010/05/14,80962748
497,2010/05/15,69657477
498,2010/05/16,62257614
499,2010/05/17,85359680
500,2010/05/18,101022015
501,2010/05/19,101643407
502,2010/05/20,106912661
503,2010/05/21,111285681
504,2010/05/22,109097884
505,2010/05/23,123639249
506,2010/05/24,115841923
507,2010/05/25,120937751
508,2010/05/26,128585792
509,2010/05/27,118313779
510,2010/05/28,124467715
511,2010/05/29,139425085
512,2010/05/30,129151337
513,2010/05/31,124304772
514,2010/06/01,111916665
515,2010/06/02,114995655
516,2010/06/03,125372185
517,2010/06/04,113947217
518,2010/06/05,116501953
519,2010/06/06,121996078
520,2010/06/07,123463626
521,2010/06/08,134699188
522,2010/06/09,132523033
523,2010/06/10,139784065
524,2010/06/11,132303081
525,2010/06/12,131717041
526,2010/06/13,133253732
527,2010/06/14,137985774
528,2010/06/15,158476956
529,2010/06/16,143265917
530,2010/06/17,121007255
531,2010/06/18,128176624
532,2010/06/19,134282983
533,2010/06/20,139902322
534,2010/06/21,151854568
535,2010/06/22,133222273
536,2010/06/23,145807344
537,2010/06/24,166148361
538,2010/06/25,155342107
539,2010/06/26,151592174
540,2010/06/27,154579153
541,2010/06/28,160626976
542,2010/06/29,157392566
543,2010/06/30,168196175
544,2010/07/01,195220770
545,2010/07/02,184604599
546,2010/07/03,183007831
547,2010/07/04,184565701
548,2010/07/05,164824213
549,2010/07/06,208433746
550,2010/07/07,183844428
551,2010/07/08,179343922
552,2010/07/09,210274106
553,2010/07/10,225319215
554,2010/07/11,219842808
555,2010/07/12,478251585
556,2010/07/13,1352643399
557,2010/07/14,1342451531
558,2010/07/15,1374455302
559,2010/07/16,1871475165
560,2010/07/17,2775561176
561,2010/07/18,1554461318
562,2010/07/19,1551287489
563,2010/07/20,1640430286
564,2010/07/21,1723492810
565,2010/07/22,1705481237
566,2010/07/23,1716129083
567,2010/07/24,1665066217
568,2010/07/25,1907547992
569,2010/07/26,2223656291
570,2010/07/27,2426744254
571,2010/07/28,1950278995
572,2010/07/29,2095168440
573,2010/07/30,2189273223
574,2010/07/31,2265292201
575,2010/08/01,2671612580
576,2010/08/02,2982826783
577,2010/08/03,2904903911
578,2010/08/04,2741851411
579,2010/08/05,3141922058
580,2010/08/06,3199053766
581,2010/08/07,2608076740
582,2010/08/08,3128125022
583,2010/08/09,3451603021
584,2010/08/10,3323478837
585,2010/08/11,3758454224
586,2010/08/12,3882076899
587,2010/08/13,3918463385
588,2010/08/14,4198187090
589,2010/08/15,5792904430
590,2010/08/16,3723240584
591,2010/08/17,3546715851
592,2010/08/18,3326153695
593,2010/08/19,3455494630
594,2010/08/20,4123747293
595,2010/08/21,4652854684
596,2010/08/22,4971164317
597,2010/08/23,5410490997
598,2010/08/24,5427414403
599,2010/08/25,5641324734
600,2010/08/26,5452582474
601,2010/08/27,5839636296
602,2010/08/28,5537117890
603,2010/08/29,5039874543
604,2010/08/30,4706695827
605,2010/08/31,5304821005
606,2010/09/01,5349934742
607,2010/09/02,4860204896
608,2010/09/03,4951727104
609,2010/09/04,5366881132
610,2010/09/05,5351068779
611,2010/09/06,5095396019
612,2010/09/07,4781518950
613,2010/09/08,5497292943
614,2010/09/09,5428655621
615,2010/09/10,5652888035
616,2010/09/11,5964655844
617,2010/09/12,6141554977
618,2010/09/13,6233335266
619,2010/09/14,6566059092
620,2010/09/15,6449596169
621,2010/09/16,6880790711
622,2010/09/17,7767563974
623,2010/09/18,7924001966
624,2010/09/19,9938049965
625,2010/09/20,9484313063
626,2010/09/21,8637197672
627,2010/09/22,7824661385
628,2010/09/23,9124979268
629,2010/09/24,10721684791
630,2010/09/25,10097932369
631,2010/09/26,9216289562
632,2010/09/27,10109067877
633,2010/09/28,10792251626
634,2010/09/29,12581521704
635,2010/09/30,9631931793
636,2010/10/01,10355743338
637,2010/10/02,8247666129
638,2010/10/03,7256115406
639,2010/10/04,9131009174
640,2010/10/05,8948558152
641,2010/10/06,9659237036
642,2010/10/07,11044743033
643,2010/10/08,10543606653
644,2010/10/09,10231600983
645,2010/10/10,10959330235
646,2010/10/11,11095467774
647,2010/10/12,10886289472
648,2010/10/13,11389933710
649,2010/10/14,12828600160
650,2010/10/15,13231141686
651,2010/10/16,14772707236
652,2010/10/17,19181748985
653,2010/10/18,17870719558
654,2010/10/19,16322160651
655,2010/10/20,17431259660
656,2010/10/21,23556942545
657,2010/10/22,17372529323
658,2010/10/23,18192620874
659,2010/10/24,19224996154
660,2010/10/25,22446334888
661,2010/10/26,24245320081
662,2010/10/27,24673808205
663,2010/10/28,22635364148
664,2010/10/29,24508588090
665,2010/10/30,25679308021
666,2010/10/31,33176750230
667,2010/11/01,27080073783
668,2010/11/02,27172132651
669,2010/11/03,29004124581
670,2010/11/04,29891411212
671,2010/11/05,32355635057
672,2010/11/06,32279453499
