,Date,Close,Open,High,Low,Fluctuations
0,2023- 03- 01,104.48,105.04,105.09,104.09,-0.37%
1,2023- 02- 28,104.87,104.63,105.0,104.42,0.19%
2,2023- 02- 27,104.67,105.26,105.36,104.55,-0.51%
3,2023- 02- 24,105.21,104.56,105.32,104.42,0.59%
4,2023- 02- 23,104.6,104.5,104.78,104.31,0.01%
5,2023- 02- 22,104.58,104.13,104.6,104.01,0.39%
6,2023- 02- 21,104.18,103.91,104.26,103.77,0.31%
7,2023- 02- 20,103.86,103.88,104.09,103.76,0.00%
8,2023- 02- 17,103.86,104.2,104.67,103.84,0.01%
9,2023- 02- 16,103.86,103.88,104.23,103.53,-0.06%
10,2023- 02- 15,103.92,103.21,104.11,103.16,0.67%
11,2023- 02- 14,103.23,103.22,103.52,102.59,-0.11%
12,2023- 02- 13,103.35,103.58,103.84,103.24,-0.28%
13,2023- 02- 10,103.63,103.25,103.68,102.9,0.40%
14,2023- 02- 09,103.22,103.43,103.55,102.64,-0.18%
15,2023- 02- 08,103.41,103.27,103.52,103.0,-0.02%
16,2023- 02- 07,103.43,103.54,103.96,103.0,-0.19%
17,2023- 02- 06,103.62,103.1,103.76,103.01,0.69%
18,2023- 02- 03,102.92,101.83,103.01,101.55,1.14%
19,2023- 02- 02,101.75,100.85,101.91,100.82,0.53%
20,2023- 02- 01,101.22,102.1,102.18,101.04,-0.86%
21,2023- 01- 31,102.1,102.19,102.61,102.01,-0.18%
22,2023- 01- 30,102.28,101.92,102.31,101.66,0.34%
23,2023- 01- 27,101.93,101.71,102.19,101.68,0.09%
24,2023- 01- 26,101.84,101.58,102.18,101.5,0.19%
25,2023- 01- 25,101.64,102.0,102.12,101.58,-0.27%
26,2023- 01- 24,101.92,101.99,102.43,101.72,-0.22%
27,2023- 01- 23,102.14,101.99,102.28,101.59,0.12%
28,2023- 01- 20,102.01,102.07,102.55,101.94,-0.05%
29,2023- 01- 19,102.06,102.38,102.48,101.99,-0.30%
30,2023- 01- 18,102.36,102.46,102.9,101.53,-0.03%
31,2023- 01- 17,102.39,102.32,102.56,101.94,0.12%
32,2023- 01- 16,102.27,102.18,102.56,101.77,0.06%
33,2023- 01- 13,102.2,102.21,102.65,101.99,-0.04%
34,2023- 01- 12,102.25,103.06,103.29,102.08,-0.91%
35,2023- 01- 11,103.19,103.22,103.48,103.11,-0.05%
36,2023- 01- 10,103.24,103.29,103.49,103.03,0.23%
37,2023- 01- 09,103.0,103.91,103.93,102.94,-0.85%
38,2023- 01- 06,103.88,105.05,105.63,103.87,-1.11%
39,2023- 01- 05,105.04,104.07,105.27,103.99,0.76%
40,2023- 01- 04,104.25,104.58,104.6,103.83,-0.26%
41,2023- 01- 03,104.52,103.66,104.86,103.47,0.99%
42,2023- 01- 01,103.49,103.49,103.49,103.49,-0.03%
43,2022- 12- 30,103.52,103.95,104.1,103.39,-0.30%
44,2022- 12- 29,103.84,104.37,104.45,103.78,-0.60%
45,2022- 12- 28,104.46,104.33,104.56,103.85,0.27%
46,2022- 12- 27,104.18,104.12,104.4,103.89,-0.14%
47,2022- 12- 25,104.32,104.32,104.32,104.32,0.01%
48,2022- 12- 23,104.31,104.39,104.54,104.12,-0.11%
49,2022- 12- 22,104.43,104.22,104.6,103.75,0.26%
50,2022- 12- 21,104.16,103.95,104.38,103.85,0.19%
51,2022- 12- 20,103.96,104.73,104.79,103.78,-0.72%
52,2022- 12- 19,104.72,104.84,104.93,104.13,0.02%
53,2022- 12- 16,104.7,104.45,104.84,104.21,0.14%
54,2022- 12- 15,104.56,103.67,104.88,103.54,0.76%
55,2022- 12- 14,103.77,104.07,104.16,103.45,-0.20%
56,2022- 12- 13,103.98,104.99,105.1,103.59,-1.09%
57,2022- 12- 12,105.13,104.93,105.25,104.67,0.31%
58,2022- 12- 09,104.81,104.86,105.14,104.48,0.03%
59,2022- 12- 08,104.77,105.2,105.43,104.72,-0.31%
60,2022- 12- 07,105.1,105.63,105.82,104.88,-0.45%
61,2022- 12- 06,105.58,105.16,105.63,104.89,0.27%
62,2022- 12- 05,105.29,104.51,105.4,104.11,0.71%
63,2022- 12- 02,104.54,104.82,105.58,104.38,-0.17%
64,2022- 12- 01,104.73,105.7,105.9,104.66,-1.15%
65,2022- 11- 30,105.95,106.72,107.19,105.78,-0.82%
66,2022- 11- 29,106.82,106.57,106.88,106.06,0.13%
67,2022- 11- 28,106.68,106.06,106.75,105.32,0.68%
68,2022- 11- 25,105.96,105.96,106.42,105.69,0.13%
69,2022- 11- 24,105.82,105.99,106.08,105.63,-0.24%
70,2022- 11- 23,106.08,107.08,107.22,106.03,-1.07%
71,2022- 11- 22,107.22,107.7,107.75,107.12,-0.57%
72,2022- 11- 21,107.83,106.97,107.99,106.89,0.85%
73,2022- 11- 18,106.93,106.69,107.04,106.34,0.22%
