,extracted_Date,Actual_cpi_lm
0,2023년 11월 14일,0.20%
1,2023년 10월 12일,0.30%
2,2023년 09월 13일,0.30%
3,2023년 08월 10일,0.20%
4,2023년 07월 12일,0.20%
5,2023년 06월 13일,0.40%
6,2023년 05월 10일,0.40%
7,2023년 04월 12일,0.40%
8,2023년 03월 14일,0.50%
9,2023년 02월 14일,0.40%
10,2023년 01월 12일,0.30%
11,2022년 12월 13일,0.20%
12,2022년 11월 10일,0.30%
13,2022년 10월 13일,0.60%
14,2022년 09월 13일,0.60%
15,2022년 08월 10일,0.30%
16,2022년 07월 13일,0.70%
17,2022년 06월 10일,0.60%
18,2022년 05월 11일,0.60%
19,2022년 04월 12일,0.30%
20,2022년 03월 10일,0.50%
21,2022년 02월 10일,0.60%
22,2022년 01월 12일,0.60%
23,2021년 12월 10일,0.50%
24,2021년 11월 10일,0.60%
25,2021년 10월 13일,0.20%
26,2021년 09월 14일,0.10%
27,2021년 08월 11일,0.30%
28,2021년 07월 13일,0.90%
29,2021년 06월 10일,0.70%
30,2021년 05월 12일,0.90%
31,2021년 04월 13일,0.30%
32,2021년 03월 10일,0.10%
33,2021년 02월 10일,0.00%
34,2021년 01월 13일,0.10%
35,2020년 12월 10일,0.20%
36,2020년 11월 12일,0.00%
37,2020년 10월 13일,0.20%
38,2020년 09월 11일,0.40%
39,2020년 08월 12일,0.60%
40,2020년 07월 14일,0.20%
41,2020년 06월 10일,-0.10%
42,2020년 05월 12일,-0.40%
43,2020년 04월 10일,-0.10%
44,2020년 03월 11일,0.20%
45,2020년 02월 13일,0.20%
46,2020년 01월 14일,0.10%
47,2019년 12월 11일,0.20%
48,2019년 11월 13일,0.20%
49,2019년 10월 10일,0.10%
50,2019년 09월 12일,0.30%
51,2019년 08월 13일,0.30%
52,2019년 07월 11일,0.30%
53,2019년 06월 12일,0.10%
54,2019년 05월 10일,0.10%
55,2019년 04월 10일,0.10%
56,2019년 03월 12일,0.10%
57,2019년 02월 13일,0.20%
58,2019년 01월 11일,0.20%
59,2018년 12월 12일,0.20%
60,2018년 11월 14일,0.20%
61,2018년 10월 11일,0.10%
62,2018년 09월 13일,0.10%
63,2018년 08월 10일,0.20%
64,2018년 07월 12일,0.20%
65,2018년 06월 12일,0.20%
66,2018년 05월 10일,0.10%
67,2018년 04월 11일,0.20%
68,2018년 03월 13일,0.20%
69,2018년 02월 14일,0.30%
70,2018년 01월 12일,0.30%
71,2017년 12월 13일,0.10%
72,2017년 11월 15일,0.20%
73,2017년 10월 13일,0.10%
74,2017년 09월 14일,0.20%
75,2017년 08월 11일,0.10%
76,2017년 07월 14일,0.10%
77,2017년 06월 14일,0.10%
78,2017년 05월 12일,0.10%
79,2017년 04월 14일,-0.10%
80,2017년 03월 15일,0.20%
81,2017년 02월 15일,0.30%
