,extracted_Date,Actual_ppi_lm
0,2023년 11월 15일,0.0
1,2023년 10월 11일,0.003
2,2023년 09월 14일,0.002
3,2023년 08월 11일,0.003
4,2023년 07월 13일,0.001
5,2023년 06월 14일,0.002
6,2023년 05월 11일,0.002
7,2023년 04월 13일,-0.001
8,2023년 03월 15일,0.0
9,2023년 02월 16일,0.005
10,2023년 01월 18일,0.001
11,2022년 12월 09일,0.004
12,2022년 11월 15일,0.0
13,2022년 10월 12일,0.003
14,2022년 09월 14일,0.004
15,2022년 08월 11일,0.002
16,2022년 07월 14일,0.004
17,2022년 06월 14일,0.005
18,2022년 05월 12일,0.004
19,2022년 04월 13일,0.01
20,2022년 03월 15일,0.002
21,2022년 02월 15일,0.008
22,2022년 01월 13일,0.005
23,2021년 12월 14일,0.007
24,2021년 11월 09일,0.004
25,2021년 10월 14일,0.002
26,2021년 09월 10일,0.006
27,2021년 08월 12일,0.01
28,2021년 07월 14일,0.01
29,2021년 06월 15일,0.007
30,2021년 05월 13일,0.007
31,2021년 04월 09일,0.007
32,2021년 03월 12일,0.002
33,2021년 02월 17일,0.012
34,2021년 01월 15일,0.001
35,2020년 12월 11일,0.001
36,2020년 11월 13일,0.001
37,2020년 10월 14일,0.004
38,2020년 09월 10일,0.004
39,2020년 08월 11일,0.005
40,2020년 07월 10일,-0.003
41,2020년 06월 11일,-0.001
42,2020년 05월 13일,-0.003
43,2020년 04월 09일,0.002
44,2020년 03월 12일,-0.003
45,2020년 02월 19일,0.005
46,2020년 01월 15일,0.001
47,2019년 12월 12일,-0.002
48,2019년 11월 14일,0.003
49,2019년 10월 08일,-0.003
50,2019년 09월 11일,0.003
51,2019년 08월 09일,-0.001
52,2019년 07월 12일,0.003
53,2019년 06월 11일,0.002
54,2019년 05월 09일,0.001
55,2019년 04월 11일,0.003
56,2019년 03월 13일,0.001
57,2019년 02월 14일,0.003
58,2019년 01월 15일,-0.001
59,2018년 12월 11일,0.003
60,2018년 11월 09일,0.005
61,2018년 10월 10일,0.002
62,2018년 09월 12일,-0.001
63,2018년 08월 09일,0.001
64,2018년 07월 11일,0.003
65,2018년 06월 13일,0.003
66,2018년 05월 09일,0.002
67,2018년 04월 10일,0.003
68,2018년 03월 14일,0.002
69,2018년 02월 15일,0.004
70,2018년 01월 11일,-0.001
71,2017년 12월 12일,0.003
72,2017년 11월 14일,0.004
73,2017년 10월 12일,0.004
74,2017년 09월 13일,0.001
75,2017년 08월 10일,-0.001
76,2017년 07월 13일,0.001
77,2017년 06월 13일,0.003
78,2017년 05월 11일,0.004
79,2017년 04월 13일,0.0
80,2017년 03월 14일,0.003
81,2017년 02월 14일,0.004
82,2017년 01월 13일,0.002
83,2016년 12월 14일,0.004
