,extracted_Date,Actual_ppi_ly
0,2023년 11월 15일,2.40%
1,2023년 10월 11일,2.70%
2,2023년 09월 14일,2.20%
3,2023년 08월 11일,2.40%
4,2023년 07월 13일,2.40%
5,2023년 06월 14일,2.80%
6,2023년 05월 11일,3.20%
7,2023년 04월 13일,3.40%
8,2023년 03월 15일,4.40%
9,2023년 02월 16일,5.40%
10,2023년 01월 18일,5.50%
11,2022년 12월 09일,6.20%
12,2022년 11월 15일,6.70%
13,2022년 10월 12일,7.20%
14,2022년 09월 14일,7.30%
15,2022년 08월 11일,7.60%
16,2022년 07월 14일,8.20%
17,2022년 06월 14일,8.30%
18,2022년 05월 12일,8.80%
19,2022년 04월 13일,9.20%
20,2022년 03월 15일,8.40%
21,2022년 02월 15일,8.30%
22,2022년 01월 13일,8.30%
23,2021년 12월 14일,7.70%
24,2021년 11월 09일,6.80%
25,2021년 10월 14일,6.80%
26,2021년 09월 10일,6.70%
27,2021년 08월 12일,6.20%
28,2021년 07월 14일,5.60%
29,2021년 06월 15일,4.80%
30,2021년 05월 13일,4.10%
31,2021년 04월 09일,3.10%
32,2021년 03월 12일,2.50%
33,2021년 02월 17일,2.00%
34,2021년 01월 15일,1.20%
35,2020년 12월 11일,1.40%
36,2020년 11월 13일,1.10%
37,2020년 10월 14일,1.20%
38,2020년 09월 10일,0.60%
39,2020년 08월 11일,0.30%
40,2020년 07월 10일,0.10%
41,2020년 06월 11일,0.30%
42,2020년 05월 13일,0.60%
43,2020년 04월 09일,1.40%
44,2020년 03월 12일,1.40%
45,2020년 02월 19일,1.70%
46,2020년 01월 15일,1.10%
47,2019년 12월 12일,1.30%
48,2019년 11월 14일,1.60%
49,2019년 10월 08일,2.00%
50,2019년 09월 11일,2.30%
51,2019년 08월 09일,2.10%
52,2019년 07월 12일,2.30%
53,2019년 06월 11일,2.30%
54,2019년 05월 09일,2.40%
55,2019년 04월 11일,2.40%
56,2019년 03월 13일,2.50%
57,2019년 02월 14일,2.60%
58,2019년 01월 15일,2.70%
59,2018년 12월 11일,2.70%
60,2018년 11월 09일,2.60%
61,2018년 10월 10일,2.50%
62,2018년 09월 12일,2.30%
63,2018년 08월 09일,2.70%
64,2018년 07월 11일,2.80%
65,2018년 06월 13일,2.40%
66,2018년 05월 09일,2.30%
67,2018년 04월 10일,2.70%
68,2018년 03월 14일,2.50%
69,2018년 02월 15일,2.2%
70,2018년 01월 11일,2.3%
71,2017년 12월 12일,2.4%
72,2017년 11월 14일,2.4%
73,2017년 10월 12일,2.2%
74,2017년 09월 13일,2.0%
75,2017년 08월 10일,1.8%
76,2017년 07월 13일,1.9%
77,2017년 06월 13일,2.1%
